"HHID","h17q1","h17q2","h17q3","h17q4","h17q5","h17q6","h17q7","h17q8","h17q9","wgt_X"
"H03706-04-01","P03706-001",1,2,1,3,5,4,4,2,2551.70141601563
"H03707-04-01","P03707-003",1,2,1,3,2,12,2,2,1275.85070800781
"H03707-04-02","P03707-013",1,1,1,2,2,11,9,2,1275.85070800781
"H03709-04-01","P03709-001",1,1,1,3,2,4,12,1,2551.70141601563
"H03711-04-02","P03711-006",1,2,1,2,2,4,12,2,637.925354003906
"H03711-04-03","P03711-002",1,1,1,3,5,2,2,2,637.925354003906
"H03711-04-04","P03711-010",2,2,1,3,5,4,4,2,637.925354003906
"H03804-04-01","P03804-001",1,3,1,2,4,12,12,2,2551.70141601563
"H03807-04-01","P03807-005",1,2,1,2,5,4,4,2,2551.70141601563
"H03809-04-01","P03809-002",1,1,1,2,2,1,1,2,2551.70141601563
"H03810-04-01","P03810-010",1,2,1,3,5,4,4,2,2551.70141601563
"H03811-04-01","P03811-001",1,1,1,3,2,1,1,1,2551.70141601563
"H03813-04-01","P03813-002",1,1,1,3,2,12,1,2,2551.70141601563
"H03901-04-01","P03901-001",1,3,1,2,2,12,12,2,2551.70141601563
"H03902-04-01","P03902-002",1,2,1,3,2,4,4,2,2551.70141601563
"H03903-04-01","P03903-003",1,2,2,2,2,1,1,2,2551.70141601563
"H03906-04-01","P03906-002",1,1,1,1,2,12,12,2,2551.70141601563
"H03907-04-01","P03907-002",1,1,1,3,2,12,4,2,2551.70141601563
"H03908-04-01","P03908-002",1,2,1,2,2,4,4,2,2551.70141601563
"H03909-04-01","P03909-001",1,2,1,3,2,4,4,2,1275.85070800781
"H03909-04-02","P03909-026",1,2,1,3,2,2,2,2,1275.85070800781
"H03910-04-01","P03910-001",1,1,1,3,2,12,8,2,2551.70141601563
"H04001-04-01","P04001-002",1,2,1,3,2,12,1,1,2551.70141601563
"H04002-04-01","P04002-002",1,2,1,3,2,2,2,1,2551.70141601563
"H04003-04-01","P04003-002",1,1,1,3,5,4,4,2,850.567138671875
"H04003-04-03","P04003-011",1,3,1,3,5,12,12,2,850.567138671875
"H04004-04-01","P04004-001",1,1,1,3,5,12,12,2,2551.70141601563
"H04005-04-01","P04005-015",1,2,1,3,2,2,9,1,2551.70141601563
"H04006-04-01","P04006-001",1,3,2,2,2,12,12,1,2551.70141601563
