"District_Name","SubCounty","Parish","Villagecode","Infrastructure_ID","C5BQ10","C5BQ11","C5BQ12","C5BQ13","C5BQ14","C5BQ15","C5BQ16","C5BQ17","Survey_Visit","Infrastructure_Response","Reason_Road_Inf_Not_Done"
108,108301,10830101,1083010101,4,1,12,1,1,96,2,,2,2,3,"Weekend and strted holidays early."
108,108301,10830101,1083010101,5,1,10,2,1,96,1,45,,2,3,"Weekend and strted holidays early."
108,108301,10830105,1083010505,1,,,,,,,,,2,1,
108,108301,10830105,1083010505,2,,,,,,,,,2,1,
108,108301,10830105,1083010505,3,,,,,,,,,2,1,
108,108301,10830105,1083010505,4,,,,,,,,,2,1,
108,108301,10830105,1083010505,5,,,,,,,,,2,1,
108,108305,10830502,1083050204,1,3,,,,,,,,2,3,"weekend came before the interview and i had to travel to the next district. it will be done in visit two"
108,108305,10830502,1083050204,2,3,,,,,,,,2,3,"weekend came before the interview and i had to travel to the next district. it will be done in visit two"
108,108305,10830502,1083050204,3,2,28,2,2,4,2,,96,2,3,"weekend came before the interview and i had to travel to the next district. it will be done in visit two"
108,108305,10830502,1083050204,4,1,5,1,2,4,2,,1,2,3,"weekend came before the interview and i had to travel to the next district. it will be done in visit two"
108,108305,10830502,1083050204,5,1,1,1,1,4,1,2,,2,3,"weekend came before the interview and i had to travel to the next district. it will be done in visit two"
110,110105,11010501,1101050107,1,,,,,,,,,2,1,
110,110105,11010501,1101050107,2,3,,,,,,,,2,1,
110,110105,11010501,1101050107,3,2,12.5,1,1,1,1,5,,2,1,
110,110105,11010501,1101050107,4,1,15,1,2,1,1,8.80000019073486,,2,1,
110,110105,11010501,1101050107,5,1,5,2,2,3,2,,2,2,1,
110,110203,11020306,1102030601,1,,,,,,,,,2,1,
110,110203,11020306,1102030601,2,2,39,2,2,4,2,,2,2,1,
110,110203,11020306,1102030601,3,1,14,1,2,4,1,6,,2,1,
110,110203,11020306,1102030601,4,1,0,2,3,3,2,,2,2,1,
110,110203,11020306,1102030601,5,1,0,1,1,4,1,1,,2,1,
110,110204,11020401,1102040107,1,,,,,,,,,2,1,
110,110204,11020401,1102040107,2,3,,,,,,,,2,1,
110,110204,11020401,1102040107,3,2,13,1,2,2,2,,1,2,1,
110,110204,11020401,1102040107,4,1,23,1,2,4,1,5.59999990463257,,2,1,
110,110204,11020401,1102040107,5,1,12,1,2,96,1,6,,2,1,
110,110206,11020603,1102060309,1,,,,,,,,,1,,
110,110206,11020603,1102060309,2,2,0,2,2,4,2,,2,1,,
110,110206,11020603,1102060309,3,1,15.1000003814697,2,2,4,2,,2,1,,
110,110206,11020603,1102060309,4,1,0,2,3,3,2,,2,1,,
110,110206,11020603,1102060309,5,1,2,2,1,3,2,,2,1,,
110,110207,11020704,1102070403,1,,,,,,,,,2,1,
110,110207,11020704,1102070403,2,3,,,,,,,,2,1,
110,110207,11020704,1102070403,3,2,11,,3,96,2,,2,2,1,
110,110207,11020704,1102070403,4,1,50,2,2,96,2,,2,2,1,
110,110207,11020704,1102070403,5,1,40,2,2,96,1,6,,2,1,
110,110305,11030501,1103050102,1,3,,,,,,,,2,1,
110,110305,11030501,1103050102,2,2,0,2,2,4,2,,2,2,1,
110,110305,11030501,1103050102,3,1,3.90000009536743,1,2,4,2,,1,2,1,
110,110305,11030501,1103050102,4,1,6,1,2,4,2,,2,2,1,
110,110305,11030501,1103050102,5,1,2,1,1,4,2,,2,2,1,
110,110306,11030601,1103060102,1,3,,,,,,,,2,1,
110,110306,11030601,1103060102,2,96,1.70000004768372,1,1,4,2,,2,2,1,
110,110306,11030601,1103060102,3,96,1.10000002384186,2,2,4,2,,2,2,1,
110,110306,11030601,1103060102,4,96,0,2,2,4,2,,2,2,1,
110,110306,11030601,1103060102,5,96,2,1,1,96,2,,1,2,1,
111,111102,11110201,1111020105,1,,,,,,,,,2,1,
111,111102,11110201,1111020105,2,3,,,,,,,,2,1,
111,111102,11110201,1111020105,3,1,6.19999980926514,1,1,96,1,5,,2,1,
111,111102,11110201,1111020105,4,1,6.19999980926514,1,1,96,2,,2,2,1,
111,111102,11110201,1111020105,5,1,48,1,1,96,2,,2,2,1,
111,111202,11120204,1112020403,1,,,,,,,,,2,1,
111,111202,11120204,1112020403,2,3,,,,,,,,2,1,
111,111202,11120204,1112020403,3,2,8,2,1,2,2,,96,2,1,
111,111202,11120204,1112020403,4,1,24,1,2,2,2,,2,2,1,
111,111202,11120204,1112020403,5,,,,,,,,,2,1,
111,111202,11120206,1112020618,1,,,,,,,,,2,1,
111,111202,11120206,1112020618,2,3,,,,,,,,2,1,
111,111202,11120206,1112020618,3,2,8,2,1,2,2,,1,2,1,
111,111202,11120206,1112020618,4,1,24,1,2,2,2,,2,2,1,
111,111202,11120206,1112020618,5,,,,,,,,,2,1,
112,112102,11210203,1121020302,1,,,,,,,,,2,1,
112,112102,11210203,1121020302,2,3,,,,,,,,2,1,
112,112102,11210203,1121020302,3,1,4.5,1,1,2,1,4.5,,2,1,
112,112102,11210203,1121020302,4,1,0,2,3,96,2,,2,2,1,
112,112102,11210203,1121020302,5,1,0,2,2,96,2,,2,2,1,
112,112104,11210402,1121040209,1,,,,,,,,,2,1,
112,112104,11210402,1121040209,2,3,,,,,,,,2,1,
112,112104,11210402,1121040209,3,1,0,1,2,4,2,,2,2,1,
112,112104,11210402,1121040209,4,1,0,2,2,96,2,,1,2,1,
112,112104,11210402,1121040209,5,1,0,1,1,96,2,,2,2,1,
112,112203,11220301,1122030104,1,,,,,,,,,2,1,
112,112203,11220301,1122030104,2,,,,,,,,,2,1,
112,112203,11220301,1122030104,3,,,,,,,,,2,1,
112,112203,11220301,1122030104,4,,,,,,,,,2,1,
112,112203,11220301,1122030104,5,,,,,,,,,2,1,
112,112204,11220403,1122040303,1,3,,,,,,,,2,1,
112,112204,11220403,1122040303,2,3,,,,,,,,2,1,
112,112204,11220403,1122040303,3,96,4.80000019073486,1,1,2,2,,2,2,1,
