"HHID","parcelID","a2bq1owned","Parcel_Resp","a2bq4","a2bq5","a2bq5_2_1","a2bq5_2","a2bq6","a2bq7","a2bq8","a2bq9","a2bq10","a2bq11","a2bq12a","a2bq12b","a2bq12a1","a2bq12b1","a2bq13","a2bq14","a2bq15","a2bq16","a2bq17","a2bq18","a2bq19","a2bq20a","a2bq20b","a2bq21a","a2bq21b","A2BQ12B_plots","A2BQ12A_plots","hh","wgt_X"
68060401,1,2,6806001,,0.5,1,2,2,1,2,,1,2,1,1,,,,2,2,2,3,2,,,,6806001,,2,2,"H06806-04-01",2551.701171875
68070401,1,2,6807002,,0.5,3,2,2,1,2,,13,2,1,1,,,,2,2,3,5,2,,,,6807002,,1,1,"H06807-04-01",2551.701171875
68070401,2,2,6807002,,1,1,2,3,1,2,,15,1,1,1,,,,6,1,2,2,2,,,,6807002,,4,4,"H06807-04-01",2551.701171875
68100401,1,2,6810002,,0.25,2,2,1,1,2,,15,2,1,1,,,,3,1,2,3,2,,,,6810002,,1,1,"H06810-04-01",1275.8505859375
69020401,1,2,6902002,,0.25,2,2,4,1,2,,1,2,1,1,,,,1,2,2,2,2,,,,6902002,6902001,2,1,"H06902-04-01",2551.70141601563
69030401,1,2,6903002,,0.25,1,2,3,1,1,50000,1,1,1,1,,,,3,2,2,3,2,,,,6903002,6903010,1,2,"H06903-04-01",2551.70141601563
69090401,1,2,6909001,,0.200000002980232,3,2,1,1,2,,10,2,2,2,,,,2,1,2,1,2,,,,6909001,6909003,1,1,"H06909-04-01",2551.70141601563
69090401,3,2,6909001,,0.200000002980232,1,2,3,1,2,,10,2,2,2,,,,3,1,3,5,2,,,,6909001,,1,1,"H06909-04-01",2551.70141601563
69090401,4,2,6909001,,0.100000001490116,1,2,2,1,2,,10,2,1,1,,,,3,1,2,1,2,,,,6909001,,1,1,"H06909-04-01",2551.70141601563
69110401,1,2,6911002,,0.75,1,2,3,1,2,,5,2,1,1,,,,2,2,2,2,2,,,,6911001,6911002,5,5,"H06911-04-01",1275.85070800781
69140401,3,2,6914002,,1,1,2,2,1,2,,3,1,1,1,,,,1,2,2,4,1,6,8,,6914001,,1,2,"H06914-04-01",2551.70141601563
70030401,1,2,7003001,,0.25,1,2,4,1,2,,2,2,1,1,,,,2,2,2,3,2,,,,7003001,7003002,1,1,"H07003-04-01",2551.70141601563
70030401,2,2,7003001,,0.5,1,2,3,1,2,,3,2,1,1,,,,2,2,2,3,2,,,,7003001,7003002,1,1,"H07003-04-01",2551.70141601563
70070401,1,2,7007002,,0.5,2,2,2,3,1,100000,10,1,1,1,,,,1,2,2,2,2,,,,7007001,7007002,2,2,"H07007-04-01",1275.85070800781
70100401,1,2,7010001,,2,4,2,2,2,2,,3,2,1,96,,,,1,2,2,3,2,,,,7010001,,,3,"H07010-04-01",2551.70141601563
70100401,2,2,7010001,,3,1,2,2,1,6,,3,2,1,96,,,,1,2,2,3,1,2,8,,7010001,,,1,"H07010-04-01",2551.70141601563
72010401,1,2,7201002,,0.5,1,2,4,1,2,,2,1,1,96,,,,3,1,2,2,2,,,,7201002,7201001,,1,"H07201-04-01",2551.70141601563
72020402,1,2,7202009,,0.25,1,2,4,1,2,,3,1,1,1,,,,1,2,2,3,2,,,,7202009,99999999,1,1,"H07202-04-02",1275.85070800781
72030401,2,2,7203002,0.800000011920929,1,,1,1,4,1,140000,5,2,1,1,,,,2,1,2,3,2,,,,7203001,7203002,1,2,"H07203-04-01",2551.70141601563
72040401,2,2,7204001,,0.5,2,2,4,4,1,60000,3,1,1,96,,,,1,2,2,2,2,,,,7204007,7204001,,1,"H07204-04-01",2551.70141601563
72040401,3,2,7204001,,0.25,4,2,1,3,1,25000,0,2,5,1,1,,,6,3,2,2,2,,,,7204001,99999999,1,,"H07204-04-01",2551.70141601563
72070401,4,2,7207001,,0.25,1,2,4,2,2,,3,1,1,1,,,,3,1,3,2,2,,,,7207001,7207006,1,1,"H07207-04-01",1275.85070800781
72080401,2,2,7208003,,2,4,2,2,6,1,100000,1,2,1,96,,,,2,3,2,3,2,,,,7208003,7208001,,1,"H07208-04-01",1275.85070800781
72080401,3,2,7208003,,1,4,2,2,1,1,2,1,1,96,1,,,,2,2,2,3,2,,,,7208003,7208001,1,,"H07208-04-01",1275.85070800781
72080402,3,2,7208002,,0.25,1,2,3,6,1,40000,1,1,1,1,,,,2,3,2,3,2,,,,7208002,,1,1,"H07208-04-02",1275.85070800781
72090401,2,2,7209003,,0.25,1,2,5,4,1,0,2,2,1,1,,,,1,2,2,3,2,,,,7209001,7209003,2,1,"H07209-04-01",2551.70141601563
73030401,2,2,7303002,,0.5,2,2,2,1,2,,5,2,1,1,,,,1,2,2,3,1,6,6,6,7303001,7303002,1,1,"H07303-04-01",2551.701171875
73040401,2,2,7304001,,0.300000011920929,2,2,1,1,2,,2,2,1,1,,,,1,2,2,2,2,,,,7304001,7304002,1,1,"H07304-04-01",1275.8505859375
73060401,1,2,7306001,,0.400000005960464,2,2,2,1,2,,10,2,1,1,,,,3,1,2,2,2,,,,7306001,7306002,2,2,"H07306-04-01",2551.701171875
73060401,2,2,7306001,,0.5,2,2,2,1,2,,10,2,1,1,,,,3,2,2,3,2,,,,7306001,7306002,2,2,"H07306-04-01",2551.701171875
73070401,1,2,7307001,0.870000004768372,1,,1,1,1,2,,2,2,1,1,,,,2,1,2,3,2,,,,7307001,,3,1,"H07307-04-01",2551.701171875
73070401,2,2,7307001,1.86000001430511,1.25,,1,1,1,2,,4,2,2,1,,,,2,1,2,4,2,,,,7307001,,2,1,"H07307-04-01",2551.701171875
75020402,1,2,7502023,,0.800000011920929,2,2,1,1,2,,2,2,1,2,,,,3,2,2,3,2,,,,7502023,,3,3,"H07502-04-02",425.283569335938
75040401,2,2,7504001,,0.25,1,2,3,3,2,,1,1,1,96,,,,1,2,2,2,2,,,,7504001,,,1,"H07504-04-01",2551.70141601563
75040401,3,2,7504001,,0.25,1,2,2,1,2,,1,1,1,1,,,,1,2,2,2,2,,,,7504001,,1,2,"H07504-04-01",2551.70141601563
75090402,1,2,7509001,1.35000002384186,1,,1,2,1,2,,2,2,2,2,,,,2,1,2,3,2,,,,7509001,7509003,1,1,"H07509-04-02",637.925354003906
75090402,2,2,7509001,,2,3,2,1,1,2,,5,2,1,1,,,,2,1,2,3,2,,,,7509001,7509003,3,4,"H07509-04-02",637.925354003906
81070401,2,2,8107002,,0.25,1,2,2,6,2,,1,1,1,1,,,,3,2,2,2,2,,,,8107001,,1,1,"H08107-04-01",2792.466796875
83020403,2,2,8302027,,0.5,2,2,3,1,1,0,2,2,1,1,,,,1,2,2,3,2,,,,8302027,,2,2,"H08302-04-03",698.11669921875
83020404,2,2,8302018,,0.5,1,2,2,1,2,,4,1,1,96,,,,3,1,2,2,2,,,,8302018,8302016,,1,"H08302-04-04",698.11669921875
83040401,2,2,8304002,,0.5,2,2,1,1,1,0,1,2,96,1,,,,2,2,2,3,2,,,,8304001,8304002,3,,"H08304-04-01",2792.466796875
83070402,1,2,8307001,,2,3,2,1,1,2,,15,1,1,1,,,,3,2,2,2,2,,,,8307001,,1,1,"H08307-04-02",1396.2333984375
83080403,1,2,8308023,,1,1,2,1,1,1,50000,3,1,1,1,,,,1,1,2,2,1,2,6,8,8308023,8308024,3,5,"H08308-04-03",1396.2333984375
84020401,3,2,8402001,,0.25,4,2,2,3,2,,2,2,1,1,,,,3,1,2,2,2,,,,8402001,,1,1,"H08402-04-01",2792.466796875
84050401,4,2,8405001,1.23000001907349,1,,1,1,3,2,,2,2,1,1,,,,3,1,2,2,2,,,,8405001,8405002,1,1,"H08405-04-01",2792.466796875
84050401,5,2,8405001,1.22000002861023,1,,1,2,3,2,,2,2,1,1,,,,3,1,2,1,2,,,,8405001,8405002,1,1,"H08405-04-01",2792.466796875
84060401,2,2,8406001,,0.75,4,2,3,1,2,,3,2,1,96,,,,3,1,2,5,1,2,6,6,8406001,8406006,,1,"H08406-04-01",698.11669921875
84060402,1,2,8406011,,1,4,2,1,1,1,40000,1,1,1,1,,,,3,1,2,2,2,,,,8406010,8406011,1,1,"H08406-04-02",698.11669921875
84080401,2,2,8408001,,0.5,1,2,4,3,2,,3,1,1,96,,,,3,1,2,5,1,2,8,,8408001,8408002,,1,"H08408-04-01",2792.466796875
84080401,3,2,8408001,,0.25,1,2,4,6,2,,3,1,1,96,,,,3,1,2,5,2,,,,8408001,8408002,,1,"H08408-04-01",2792.466796875
84090402,3,2,8409008,,4,2,2,3,1,2,,6,2,1,1,,,,2,2,2,4,2,,,,8409007,8409008,2,2,"H08409-04-02",1396.2333984375
