"HHID","a6bq1","hh","wgt_X"
128060401,2,"H12806-04-01",2272.64404296875
128080401,1,"H12808-04-01",2272.64404296875
128090401,2,"H12809-04-01",757.547973632813
128090403,,"H12809-04-03",757.547973632813
128100401,1,"H12810-04-01",2272.64404296875
128110401,1,"H12811-04-01",2272.64404296875
128120401,2,"H12812-04-01",2272.64404296875
129010401,1,"H12901-04-01",2272.64404296875
129020402,2,"H12902-04-02",2272.64404296875
129030401,1,"H12903-04-01",2272.64404296875
129040401,2,"H12904-04-01",2272.64404296875
129050401,1,"H12905-04-01",1136.32202148438
129050402,2,"H12905-04-02",1136.32202148438
129060401,1,"H12906-04-01",2272.64404296875
129070401,1,"H12907-04-01",2272.64404296875
129080401,2,"H12908-04-01",2272.64404296875
129090402,1,"H12909-04-02",2272.64404296875
129100401,2,"H12910-04-01",2272.64404296875
130020401,1,"H13002-04-01",2272.64404296875
130030401,2,"H13003-04-01",2272.64404296875
130040401,2,"H13004-04-01",2272.64404296875
130050401,2,"H13005-04-01",2272.64404296875
130060401,1,"H13006-04-01",378.773986816406
130060402,1,"H13006-04-02",378.773986816406
130060403,1,"H13006-04-03",378.773986816406
130060404,1,"H13006-04-04",378.773986816406
130060405,1,"H13006-04-05",378.773986816406
130060406,1,"H13006-04-06",378.773986816406
130070401,1,"H13007-04-01",2272.64404296875
130080401,1,"H13008-04-01",2272.64404296875
130090401,1,"H13009-04-01",2272.64404296875
130100401,1,"H13010-04-01",2272.64404296875
131020401,1,"H13102-04-01",1136.32202148438
131020402,2,"H13102-04-02",1136.32202148438
131030401,1,"H13103-04-01",2272.64404296875
131040401,1,"H13104-04-01",2272.64404296875
131050401,1,"H13105-04-01",1136.32202148438
131050402,2,"H13105-04-02",1136.32202148438
131060401,1,"H13106-04-01",2272.64404296875
131070402,1,"H13107-04-02",757.547973632813
131070403,2,"H13107-04-03",757.547973632813
131070404,2,"H13107-04-04",757.547973632813
131080401,1,"H13108-04-01",1136.32202148438
131090401,1,"H13109-04-01",2272.64404296875
132020401,1,"H13202-04-01",2272.64404296875
132040401,1,"H13204-04-01",2272.64404296875
132050402,2,"H13205-04-02",757.547973632813
132050404,2,"H13205-04-04",757.547973632813
132070401,2,"H13207-04-01",2272.64404296875
132080401,2,"H13208-04-01",1136.32202148438
132090401,2,"H13209-04-01",2272.64404296875
133030401,1,"H13303-04-01",2272.6435546875
133060401,2,"H13306-04-01",2272.6435546875
133070401,2,"H13307-04-01",1136.32177734375
133070402,2,"H13307-04-02",1136.32177734375
133080401,2,"H13308-04-01",2272.6435546875
133090401,1,"H13309-04-01",2272.6435546875
133100401,1,"H13310-04-01",324.663391113281
133100402,1,"H13310-04-02",324.663391113281
133100403,,"H13310-04-03",324.663391113281
133100404,1,"H13310-04-04",324.663391113281
133100405,2,"H13310-04-05",324.663391113281
133100406,,"H13310-04-06",324.663391113281
133110401,2,"H13311-04-01",2272.6435546875
140010401,1,"H14001-04-01",2935.46557617188
140020401,1,"H14002-04-01",2935.46557617188
140030401,2,"H14003-04-01",978.488586425781
140030402,2,"H14003-04-02",978.488586425781
140040401,1,"H14004-04-01",978.488586425781
140050401,1,"H14005-04-01",2935.46557617188
140060401,1,"H14006-04-01",1467.73278808594
140070401,1,"H14007-04-01",2935.46557617188
140080401,1,"H14008-04-01",1467.73278808594
140090401,2,"H14009-04-01",2935.46557617188
140100401,1,"H14010-04-01",2935.46557617188
141010401,2,"H14101-04-01",2935.46557617188
141040401,1,"H14104-04-01",1467.73278808594
141060401,1,"H14106-04-01",2935.46557617188
