"District_Name","SubCounty","Parish","Villagecode","Payment_ID","C3DQ26","Other_C3DQ26","C3DQ27","C3DQ28","C3DQ29","Education_Response","Reason_Edu_Not_Done"
102,102105,10210503,1021050307,6,,,,,,3,"CALL BACK. PERSON RESPONSIBLE NOT AROUND EVEN ON VISIT 2 ITS STILL AN APPOINTMENT BUT THEY ARE JUST TOSSING ME AROUND"
102,102105,10210503,1021050307,7,,,,,,3,"CALL BACK. PERSON RESPONSIBLE NOT AROUND EVEN ON VISIT 2 ITS STILL AN APPOINTMENT BUT THEY ARE JUST TOSSING ME AROUND"
102,102105,10210503,1021050307,8,,,,,,3,"CALL BACK. PERSON RESPONSIBLE NOT AROUND EVEN ON VISIT 2 ITS STILL AN APPOINTMENT BUT THEY ARE JUST TOSSING ME AROUND"
102,102105,10210503,1021050307,9,,,,,,3,"CALL BACK. PERSON RESPONSIBLE NOT AROUND EVEN ON VISIT 2 ITS STILL AN APPOINTMENT BUT THEY ARE JUST TOSSING ME AROUND"
102,102105,10210503,1021050307,10,,,,,,3,"CALL BACK. PERSON RESPONSIBLE NOT AROUND EVEN ON VISIT 2 ITS STILL AN APPOINTMENT BUT THEY ARE JUST TOSSING ME AROUND"
102,102105,10210504,1021050405,1,,,2,,,3,
102,102105,10210504,1021050405,2,1,,1,40000,2,3,
102,102105,10210504,1021050405,3,1,,1,20000,4,3,
102,102105,10210504,1021050405,4,2,,,,,3,
102,102105,10210504,1021050405,5,1,,2,,,3,
102,102105,10210504,1021050405,6,2,,,,,3,
102,102105,10210504,1021050405,7,2,,,,,3,
102,102105,10210504,1021050405,8,2,,,,,3,
102,102105,10210504,1021050405,9,2,,,,,3,
102,102105,10210504,1021050405,10,2,,,,,3,
102,102105,10210510,1021051004,1,,,,,,3,"THE SCHOOL HAD CLOSED FOR HOLIDAYS"
102,102105,10210510,1021051004,2,,,,,,3,"THE SCHOOL HAD CLOSED FOR HOLIDAYS"
102,102105,10210510,1021051004,3,,,,,,3,"THE SCHOOL HAD CLOSED FOR HOLIDAYS"
102,102105,10210510,1021051004,4,,,,,,3,"THE SCHOOL HAD CLOSED FOR HOLIDAYS"
102,102105,10210510,1021051004,5,,,,,,3,"THE SCHOOL HAD CLOSED FOR HOLIDAYS"
102,102105,10210510,1021051004,6,,,,,,3,"THE SCHOOL HAD CLOSED FOR HOLIDAYS"
102,102105,10210510,1021051004,7,,,,,,3,"THE SCHOOL HAD CLOSED FOR HOLIDAYS"
102,102105,10210510,1021051004,8,,,,,,3,"THE SCHOOL HAD CLOSED FOR HOLIDAYS"
102,102105,10210510,1021051004,9,,,,,,3,"THE SCHOOL HAD CLOSED FOR HOLIDAYS"
102,102105,10210510,1021051004,10,,,,,,3,"THE SCHOOL HAD CLOSED FOR HOLIDAYS"
102,102105,10210513,1021051305,1,,,2,,,3,"THE SCHOOL WAS CLOSED SINCE IT WAS STILL HOLIDAY TIME"
102,102105,10210513,1021051305,2,1,,1,20000,2,3,"THE SCHOOL WAS CLOSED SINCE IT WAS STILL HOLIDAY TIME"
102,102105,10210513,1021051305,3,1,,1,20000,4,3,"THE SCHOOL WAS CLOSED SINCE IT WAS STILL HOLIDAY TIME"
102,102105,10210513,1021051305,4,2,,,,,3,"THE SCHOOL WAS CLOSED SINCE IT WAS STILL HOLIDAY TIME"
102,102105,10210513,1021051305,5,2,,,,,3,"THE SCHOOL WAS CLOSED SINCE IT WAS STILL HOLIDAY TIME"
102,102105,10210513,1021051305,6,2,,,,,3,"THE SCHOOL WAS CLOSED SINCE IT WAS STILL HOLIDAY TIME"
102,102105,10210513,1021051305,7,2,,,,,3,"THE SCHOOL WAS CLOSED SINCE IT WAS STILL HOLIDAY TIME"
102,102105,10210513,1021051305,8,2,,,,,3,"THE SCHOOL WAS CLOSED SINCE IT WAS STILL HOLIDAY TIME"
102,102105,10210513,1021051305,9,2,,,,,3,"THE SCHOOL WAS CLOSED SINCE IT WAS STILL HOLIDAY TIME"
102,102105,10210513,1021051305,10,2,,,,,3,"THE SCHOOL WAS CLOSED SINCE IT WAS STILL HOLIDAY TIME"
102,102105,10210515,1021051506,1,,,1,10000,2,2,
102,102105,10210515,1021051506,2,1,,1,10000,2,2,
102,102105,10210515,1021051506,3,2,,,,,2,
102,102105,10210515,1021051506,4,2,,,,,2,
102,102105,10210515,1021051506,5,1,,2,,,2,
102,102105,10210515,1021051506,6,2,,,,,2,
102,102105,10210515,1021051506,7,2,,,,,2,
102,102105,10210515,1021051506,8,2,,,,,2,
102,102105,10210515,1021051506,9,2,,,,,2,
102,102105,10210515,1021051506,10,1,"TUITION",1,10400,2,2,
102,102105,10210518,1021051832,1,,,2,,,1,
102,102105,10210518,1021051832,2,1,,1,25000,2,1,
102,102105,10210518,1021051832,3,1,,1,20000,4,1,
102,102105,10210518,1021051832,4,1,,2,,,1,
102,102105,10210518,1021051832,5,1,,2,,,1,
102,102105,10210518,1021051832,6,1,,2,,,1,
102,102105,10210518,1021051832,7,1,,2,,,1,
102,102105,10210518,1021051832,8,1,,2,,,1,
102,102105,10210518,1021051832,9,2,,,,,1,
102,102105,10210518,1021051832,10,2,,,,,1,
103,103105,10310505,1031050505,1,,,1,4000,2,3,"On holiday"
103,103105,10310505,1031050505,2,1,,1,6000,2,3,"On holiday"
103,103105,10310505,1031050505,3,2,,,,,3,"On holiday"
103,103105,10310505,1031050505,4,2,,,,,3,"On holiday"
103,103105,10310505,1031050505,5,1,,2,,,3,"On holiday"
103,103105,10310505,1031050505,6,2,,,,,3,"On holiday"
103,103105,10310505,1031050505,7,2,,,,,3,"On holiday"
103,103105,10310505,1031050505,8,2,,,,,3,"On holiday"
103,103105,10310505,1031050505,9,1,,1,5000,2,3,"On holiday"
103,103105,10310505,1031050505,10,2,,,,,3,"On holiday"
104,104102,10410204,1041020405,1,,,1,5000,2,1,
104,104102,10410204,1041020405,2,1,,1,4000,2,1,
104,104102,10410204,1041020405,3,2,,,,,1,
104,104102,10410204,1041020405,4,2,,,,,1,
104,104102,10410204,1041020405,5,1,,2,,,1,
104,104102,10410204,1041020405,6,2,,,,,1,
104,104102,10410204,1041020405,7,2,,,,,1,
104,104102,10410204,1041020405,8,2,,,,,1,
104,104102,10410204,1041020405,9,2,,,,,1,
104,104102,10410204,1041020405,10,1,"Mock fees",1,5000,1,1,
104,104104,10410403,1041040304,1,,,2,,,2,
104,104104,10410403,1041040304,2,1,,1,6000,2,2,
104,104104,10410403,1041040304,3,1,,2,,,2,
104,104104,10410403,1041040304,4,2,,,,,2,
104,104104,10410403,1041040304,5,2,,,,,2,
104,104104,10410403,1041040304,6,2,,,,,2,
104,104104,10410403,1041040304,7,2,,,,,2,
104,104104,10410403,1041040304,8,2,,,,,2,
104,104104,10410403,1041040304,9,2,,,,,2,
104,104104,10410403,1041040304,10,2,,,,,2,
104,104105,10410504,1041050403,1,,,2,,,1,
104,104105,10410504,1041050403,2,1,,1,5000,2,1,
104,104105,10410504,1041050403,3,1,,1,12000,4,1,
104,104105,10410504,1041050403,4,2,,,,,1,
104,104105,10410504,1041050403,5,2,,,,,1,
104,104105,10410504,1041050403,6,2,,,,,1,
104,104105,10410504,1041050403,7,2,,,,,1,
104,104105,10410504,1041050403,8,2,,,,,1,
104,104105,10410504,1041050403,9,2,,,,,1,
104,104105,10410504,1041050403,10,1,"CHURCH FEE",1,500,2,1,
104,104208,10420804,1042080404,1,,,2,,,2,
104,104208,10420804,1042080404,2,1,,1,2300,2,2,
104,104208,10420804,1042080404,3,1,,2,,,2,
104,104208,10420804,1042080404,4,2,,,,,2,
104,104208,10420804,1042080404,5,2,,,,,2,
104,104208,10420804,1042080404,6,2,,,,,2,
104,104208,10420804,1042080404,7,2,,,,,2,
104,104208,10420804,1042080404,8,2,,,,,2,
104,104208,10420804,1042080404,9,2,,,,,2,
104,104208,10420804,1042080404,10,2,,,,,2,
105,105105,10510502,1051050201,1,,,1,2000,2,2,
105,105105,10510502,1051050201,2,1,,1,5000,2,2,
105,105105,10510502,1051050201,3,2,,,,,2,
105,105105,10510502,1051050201,4,2,,,,,2,
105,105105,10510502,1051050201,5,2,,,,,2,
105,105105,10510502,1051050201,6,1,,2,,,2,
105,105105,10510502,1051050201,7,2,,,,,2,
105,105105,10510502,1051050201,8,2,,,,,2,
105,105105,10510502,1051050201,9,2,,,,,2,
105,105105,10510502,1051050201,10,1,"Exam fee",1,2000,2,2,
106,106101,10610101,1061010108,1,,,2,,,1,
106,106101,10610101,1061010108,2,2,,,,,1,
106,106101,10610101,1061010108,3,2,,,,,1,
106,106101,10610101,1061010108,4,2,,,,,1,
106,106101,10610101,1061010108,5,1,,2,,,1,
106,106101,10610101,1061010108,6,2,,,,,1,
106,106101,10610101,1061010108,7,2,,,,,1,
106,106101,10610101,1061010108,8,2,,,,,1,
106,106101,10610101,1061010108,9,2,,,,,1,
106,106101,10610101,1061010108,10,2,,,,,1,
106,106101,10610109,1061010902,1,,,2,,,3,"On holiday"
106,106101,10610109,1061010902,2,1,,1,5000,2,3,"On holiday"
106,106101,10610109,1061010902,3,2,,,,,3,"On holiday"
106,106101,10610109,1061010902,4,2,,,,,3,"On holiday"
106,106101,10610109,1061010902,5,1,,2,,,3,"On holiday"
106,106101,10610109,1061010902,6,2,,,,,3,"On holiday"
106,106101,10610109,1061010902,7,2,,,,,3,"On holiday"
106,106101,10610109,1061010902,8,2,,,,,3,"On holiday"
106,106101,10610109,1061010902,9,2,,,,,3,"On holiday"
106,106101,10610109,1061010902,10,2,,,,,3,"On holiday"
106,106106,10610606,1061060602,1,,,2,,,1,
106,106106,10610606,1061060602,2,1,,1,5000,2,1,
106,106106,10610606,1061060602,3,2,,,,,1,
106,106106,10610606,1061060602,4,2,,,,,1,
106,106106,10610606,1061060602,5,2,,,,,1,
106,106106,10610606,1061060602,6,2,,,,,1,
106,106106,10610606,1061060602,7,2,,,,,1,
106,106106,10610606,1061060602,8,2,,,,,1,
106,106106,10610606,1061060602,9,2,,,,,1,
106,106106,10610606,1061060602,10,2,,,,,1,
107,107105,10710503,1071050302,1,,,1,10000,1,1,
107,107105,10710503,1071050302,2,1,,1,7000,2,1,
107,107105,10710503,1071050302,3,2,,,,,1,
107,107105,10710503,1071050302,4,2,,,,,1,
107,107105,10710503,1071050302,5,2,,,,,1,
107,107105,10710503,1071050302,6,2,,,,,1,
107,107105,10710503,1071050302,7,2,,,,,1,
107,107105,10710503,1071050302,8,2,,,,,1,
107,107105,10710503,1071050302,9,2,,,,,1,
107,107105,10710503,1071050302,10,2,,,,,1,
107,107105,10710505,1071050503,1,,,1,5000,2,1,
107,107105,10710505,1071050503,2,1,,1,3000,2,1,
107,107105,10710505,1071050503,3,2,,,,,1,
107,107105,10710505,1071050503,4,2,,,,,1,
107,107105,10710505,1071050503,5,1,,2,,,1,
107,107105,10710505,1071050503,6,2,,,,,1,
107,107105,10710505,1071050503,7,2,,,,,1,
107,107105,10710505,1071050503,8,2,,,,,1,
107,107105,10710505,1071050503,9,2,,,,,1,
107,107105,10710505,1071050503,10,1,"Sports wear",2,,,1,
107,107202,10720206,1072020601,1,,,1,20000,1,1,
107,107202,10720206,1072020601,2,2,,,,,1,
107,107202,10720206,1072020601,3,2,,,,,1,
107,107202,10720206,1072020601,4,2,,,,,1,
107,107202,10720206,1072020601,5,1,,2,,,1,
107,107202,10720206,1072020601,6,2,,,,,1,
107,107202,10720206,1072020601,7,2,,,,,1,
107,107202,10720206,1072020601,8,2,,,,,1,
107,107202,10720206,1072020601,9,1,,1,20000,2,1,
107,107202,10720206,1072020601,10,2,,,,,1,
107,107302,10730203,1073020305,1,,,1,10000,2,3,"On holiday"
107,107302,10730203,1073020305,2,1,,1,10000,2,3,"On holiday"
107,107302,10730203,1073020305,3,2,,,,,3,"On holiday"
107,107302,10730203,1073020305,4,2,,,,,3,"On holiday"
