"HHID","APCode","a6cq2","a6cq3a","a6cq3b","a6cq3c","a6cq3d","a6cq3e","a6cq4a","a6cq4b","a6cq4c","a6cq5a","a6cq5b","a6cq5c","a6cq6","a6cq7","a6cq8","a6cq9","a6cq10","a6cq11","a6cq12","a6cq13a","a6cq13b","a6cq14a","a6cq14b","a6cq15","a6cq15b","a6cq15c","a6cq16","hh","wgt_X"
40050401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04005-04-01",2551.70141601563
40050401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04005-04-01",2551.70141601563
40050401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04005-04-01",2551.70141601563
40050401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04005-04-01",2551.70141601563
40100401,23,1,8,4010001,4010008,4010001,4010002,0,,,0,,,11,2,0,0,0,2,0,0,,2,19000,1,3,1,1,"H04010-04-01",1275.85070800781
40100401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04010-04-01",1275.85070800781
40100401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04010-04-01",1275.85070800781
40100401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04010-04-01",1275.85070800781
40100401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04010-04-01",1275.85070800781
40110401,23,1,5,4011003,4011005,4011002,4011001,0,,,0,,,10,5,0,0,0,5,5,0,,0,,0,1,3,1,"H04011-04-01",1275.85070800781
40110401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04011-04-01",1275.85070800781
40110401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04011-04-01",1275.85070800781
40110401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04011-04-01",1275.85070800781
40110401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04011-04-01",1275.85070800781
42010401,23,1,15,4201003,,4201003,4201001,0,,,0,,,8,7,0,0,0,0,0,0,,0,,0,1,3,1,"H04201-04-01",2551.70141601563
