"HHID","h12q1","h12q2","h12q3a","h12q3b","h12q4","h12qNew","h12q4a","h12q4b","h12q4c","h12q4d","h12q4e","h12q6a","h12q6b","h12q7","h12q8","h12q8a","h12q8b","h12q9","h12q10","h12q11a","h12q11b","h12q11c","h12q11d","h12q11e","h12q12","h12q12a","h12q13","h12q14","h12q15","h12q16","h12q17","h12q18","h12q19","_merge"
"H04001-04-01",1,"P04001-002",1,"selling petrol",4730,1,1,,,"P04001-001",,99,2010,6,2,"P04001-001",,2,,"P04001-001",,,,,12,,400000,0,0,320000,5000,2,2,3
"H04002-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04003-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04003-04-03",1,"P04003-011",1,"whole sale of fish",4630,1,1,,,"P04003-011",,99,2010,4,2,"P04003-012",,2,,"P04003-012",,,,,12,,400000,0,0,250000,20000,2,2,3
"H04004-04-01",1,"P04004-001",1,"retail sale of pancakes",4799,1,1,,,"P04004-001",,99,2011,7,2,"P04004-001",,2,,"P04004-001",,,,,12,,180000,0,0,50000,10000,2,2,3
"H04005-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04006-04-01",1,"P04006-001",1,"Retail sale of hoe handle (Emiyini)",4773,1,1,,,"P04006-001",,99,2010,2,1,"P04006-001",,2,,"P04006-001",,,,,4,1,40000,0,0,0,0,2,2,3
"H04007-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04009-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04010-04-01",1,"P04010-001",1,"Manufacturing Waragi",1101,1,1,,,"P04010-001",,99,2005,2,2,"P04010-001",,2,,"P04010-001","P04010-005",,,,12,,240000,0,0,120000,10000,2,2,3
"H04010-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04011-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04011-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04201-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04202-04-01",1,"P04202-001",1,"retail sale of spares for bicycles and motor cycle",9529,1,1,,,"P04202-001",,10,2010,5,2,"P04202-001",,1,3,"P04202-001",,,,,12,,600000,1,45000,150000,10000,2,2,3
"H04202-04-01",1,"P04202-001",2,"retail sale of consmetics and hair dressing",9602,1,1,,,"P04202-002",,9,2012,5,2,"P04202-002",,2,,"P04202-002",,,,,12,,550000,0,45000,250000,20000,2,2,3
"H04203-04-01",1,"P04203-001",1,"Bodaboda ridding",4922,1,1,,,"P04203-001",,99,2009,8,2,"P04203-001",,2,,"P04203-001",,,,,12,,400000,0,0,0,200000,2,2,3
"H04204-04-01",1,"P04204-021",1,"burnt brick making",2399,1,1,,,"P04204-001",,99,2000,2,1,"P04204-001",,2,,"P04204-001",,,,,5,1,250000,0,0,0,10000,2,2,3
"H04205-04-01",1,"P04205-002",2,"selling beverages",4722,1,1,,,"P04205-001","P04205-002",99,2005,1,2,"P04205-001",,2,,"P04205-001","P04205-002",,,,12,,200000,0,16000,70000,5000,2,2,3
"H04205-04-01",1,"P04205-002",1,"butcher for pork",4721,1,1,,,"P04205-001","P04205-001",99,2005,2,2,"P04205-001",,2,,"P04205-001",,,,,12,,1000000,1,15000,600000,5000,2,2,3
"H04206-04-01",1,"P04206-001",1,"selling mat raw materials",4773,1,1,,,"P04206-001",,99,1980,1,1,"P04206-001",,2,,"P04206-001",,,,,12,,10000,0,0,0,0,2,2,3
"H04207-04-01",1,"P04207-001",2,"retail sale shop",4719,1,1,,,"P04207-002","P04207-002",3,2013,2,2,"P04207-002",,1,8,"P04207-002",,,,,7,1,600000,0,0,500000,2000,2,2,3
"H04207-04-01",1,"P04207-001",1,"retail sale of coffee",4721,1,1,,,"P04207-001",,99,2004,2,2,"P04207-001",,2,,"P04207-001",,,,,12,,1000000,0,0,500000,0,2,2,3
"H04208-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04208-04-02",1,"P04208-002",1,"manufacturing waragi",1101,1,1,,,"P04208-002",,99,2004,7,2,"P04208-002",,2,,"P04208-002",,,,,8,1,120000,1,20000,70000,0,2,2,3
"H04208-04-02",1,"P04208-002",2,"manufacturing chacoal",1910,1,1,,,"P04208-002",,99,2003,8,1,"P04208-001",,2,,"P04208-001",,,,,12,,350000,0,0,150000,0,2,2,3
"H04209-04-01",1,"P04209-001",1,"Selling beer and other alcohol",5630,1,1,,,"P04209-001",,5,2011,1,2,"P04209-001",,2,,"P04209-001",,,,,10,1,200000,1,0,130000,10000,2,2,3
"H04210-04-01",1,"P04210-001",1,"manufacturing furniture",3100,1,1,,,"P04210-001",,99,2005,2,2,"P04210-001",,2,,"P04210-001",,,,,7,1,50000,0,0,15000,0,2,2,3
"H04501-04-01",1,"P04501-001",1,"retail sale of food / beverages",4799,0,1,,,"P04501-001","P04501-003",2,2011,7,2,"P04501-001",,2,,"P04501-001","P04501-002","P04501-003",,,12,,150000,0,0,75000,30000,2,2,3
"H04505-04-01",1,"P04505-001",1,"clinic",8620,1,1,,,"P04505-001",,99,1986,2,2,"P04505-001",,2,,"P04505-001",,,,,12,,10000000,5,600000,4000000,70000,1,1,3
"H04508-04-02",1,"P04508-011",1,"Retail selling of raw food",4799,1,1,,,"P04508-011",,3,2013,7,2,"P04508-011",,2,,"P04508-011",,,,,12,,520000,0,0,350000,40000,2,2,3
"H04508-04-03",1,"P04508-014",1,"Operating a retail Shop",4719,1,1,,,"P04508-014",,1,2012,1,2,"P04508-014",,2,,"P04508-014","P04508-016","P04508-020",,,12,,800000,0,0,450000,30000,2,8,3
"H04508-04-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04509-04-01",1,"P04509-002",1,"whole sale shop",4690,0,2,13,2,,,,,,,"P04509-001",,,,,,,,,,,,0,,,,,,3
"H04509-04-01",1,"P04509-002",2,"retail shop",4719,0,1,,,"P04509-002","P04509-002",99,2010,1,2,"P04509-002",,2,,"P04509-002",,,,,12,,1000000,0,0,500000,100000,1,2,3
"H04509-04-01",1,"P04509-002",3,"wholesale of agricultural produce",4620,1,1,,,"P04509-001",,9,2013,8,8,"P04509-001",,2,,"P04509-001",,,,,5,1,2500000,3,120000,1000000,50000,2,2,3
"H04602-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04603-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04604-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04606-04-01",1,"P04606-010",1," boda boda (owned)",4922,1,1,,,"P04606-010",,7,2011,6,2,"P04606-010",,2,,"P04606-010",,,,,12,,600000,0,0,0,210000,2,2,3
"H04606-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04607-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04608-04-01",1,"P04608-001",1,"retail sell of coffee",4620,1,1,,,"P04608-001",,6,2008,2,2,"P04608-001",,2,,"P04608-001",,,,,6,1,800000,0,0,400000,80000,2,2,3
"H04609-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04610-04-01",1,"P04610-002",1,"nursery school",8510,1,1,,,"P04610-002",,1,2013,1,2,"P04610-002",,2,,"P04610-002",,,,,9,1,100000,0,0,15000,0,2,2,3
"H04610-04-02",1,"P04610-005",1,"trading coffee",4620,1,1,,,"P04610-005",,99,2010,2,1,"P04610-005",,2,,"P04610-005",,,,,12,,370000,0,0,300000,0,2,2,3
"H04610-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04801-04-01",1,"P04801-001",1,"fetching and selling water",9609,1,1,,,"P04801-001",,99,2008,6,2,"P04801-001","P04801-002",2,,"P04801-001",,,,,12,,300000,0,0,0,30000,2,2,3
"H04802-04-01",2,,1,"selling firewood(retail)",4799,0,2,,3,"P04802-001","P04802-001",99,2009,,,,,,,,,,,,,,,,,,,,,3
"H04802-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04802-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04803-04-02",1,"P04803-003",1,"Buying and selling agricultural produce",4620,1,1,,,"P04803-003",,1,2008,8,2,"P04803-003",,2,,"P04803-003",,,,,6,1,650000,0,0,400000,40000,2,2,3
"H04804-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04805-04-01",1,"P04805-008",1,"manufacturing bricks",2399,1,1,,,"P04805-008",,1,2012,7,1,"P04805-008",,2,,"P04805-008",,,,,8,1,450000,0,0,0,0,2,2,3
"H04806-04-01",1,"P04806-002",1,"metal workshop",2599,1,1,,,"P04806-001",,1,1998,6,2,"P04806-001",,2,,"P04806-001",,,,,12,,1400000,2,300000,500000,100000,1,2,3
"H04807-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04808-04-01",1,"P04808-001",3,"sale of shoes",4782,0,1,,,"P04808-002","P04808-002",4,2004,5,2,"P04808-002",,2,,"P04808-002",,,,,12,,1000000,0,0,600000,200000,2,2,3
"H04808-04-01",1,"P04808-001",1,"retail shop",4719,1,1,,,"P04808-001","P04808-001",99,2009,5,2,"P04808-001",,2,,"P04808-001",,,,,12,,450000,0,0,150000,80000,2,2,3
"H04808-04-02",1,"P04808-003",1,"Selling ladies and men's Clothes",4771,1,1,,,"P04808-003",,99,2012,7,2,"P04808-003",,1,2,"P04808-003",,,,,12,,3000000,1,100000,2000000,300000,2,2,3
"H04810-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04903-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04905-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04907-04-01",1,"P04907-002",1,"Manufacturing Local Alcohol",1103,1,1,,,"P04907-002","P04907-001",99,2003,2,2,"P04907-002","P04907-001",2,,"P04907-002","P04907-001",,,,7,1,80000,0,0,40000,5000,2,2,3
"H04908-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04909-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04910-04-01",1,"P04910-002",1,"Whole sale of maize and beans",4620,1,1,,,"P04910-001",,99,2010,8,2,"P04910-001",,2,,"P04910-001",,,,,6,1,800000,0,0,200000,100000,2,2,3
"H04912-04-01",1,"P04912-001",1,"Retail shop selling general merchandise",4719,1,1,,,"P04912-001",,99,2005,7,2,"P04912-001",,2,,"P04912-001",,,,,11,2,250000,0,0,150000,10000,2,2,3
"H04913-04-01",1,"P04913-001",2,"retail trade of alcohol",4722,1,1,,,"P04913-001",,99,2000,1,2,"P04913-001",,2,,"P04913-001",,,,,12,,140000,0,0,120000,3000,2,2,3
"H04913-04-01",1,"P04913-001",1,"retail trade household goods",4721,1,1,,,"P04913-001",,3,2012,1,2,"P04913-001",,2,,"P04913-001",,,,,12,,270000,0,0,200000,10000,2,2,3
"H04913-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04913-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04913-04-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04913-04-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H04913-04-06",1,"P04913-014",1,"Passanger transport(bodaboda)",4921,1,1,,,"P04913-013",,6,2004,7,4,"P04913-013",,2,,"P04913-013",,,,,12,,1100000,0,0,0,450000,2,2,3
"H05002-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05003-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05003-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05004-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05005-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05006-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05007-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05008-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05009-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05010-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05101-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05102-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05103-04-01",1,"P05103-002",1,"Stall selling agricultural raw products",4789,1,1,,,"P05103-002","P05103-002",6,2013,2,1,"P05103-002",,2,,"P05103-002",,,,,8,1,10000,0,0,5000,0,2,2,3
"H05104-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05105-04-01",1,"P05105-001",1,"wholesale of agricultural produces",4620,1,1,,,"P05105-001",,99,2005,8,2,"P05105-001",,2,,"P05105-001",,,,,8,1,600000,2,100000,200000,50000,2,2,3
"H05106-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05107-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05108-04-01",1,"P05108-002",1," Blacksmithing-Making bicycle carriers",3290,1,1,,,"P05108-001",,99,2004,6,2,"P05108-001",,2,,"P05108-001",,,,,12,,200000,0,0,100000,20000,2,2,3
"H05108-04-01",1,"P05108-002",2,"Selling coffee beans",4789,1,1,,,"P05108-002",,5,2013,2,1,"P05108-002",,2,,"P05108-002","P05108-003","P05108-004",,,3,1,50000,0,0,15000,0,2,2,3
"H05109-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05110-04-01",1,"P05110-002",1,"Knitting (Weaving) mats",1410,1,1,,,"P05110-002",,6,2012,1,2,"P05110-002",,2,,"P05110-002",,,,,6,2,100000,0,0,45000,0,2,2,3
"H05301-04-01",1,"P05301-001",1,"retail sell of general merchadise",4719,1,1,,,"P05301-004",,99,2004,5,2,"P05301-004",,2,,"P05301-004",,,,,12,,2000000,0,0,1000000,250000,1,2,3
"H05302-04-01",1,"P05302-002",1,"retail trade of vegatables",4781,1,1,,,"P05302-001",,1,2002,5,2,"P05302-001",,2,,"P05302-001",,,,,12,,2000000,0,0,1500000,60000,2,2,3
"H05303-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05304-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05305-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05305-04-02",1,"P05305-035",2,"Selling Gomasi",4782,1,1,,,"P05305-036",,7,2013,8,2,"P05305-036",,2,,"P05305-036",,,,,7,1,850000,0,0,600000,60000,2,2,3
"H05305-04-02",1,"P05305-035",1,"Selling of New clothings",4782,1,1,,,"P05305-035",,11,2010,8,2,"P05305-035",,1,2,"P05305-035",,,,,12,,1700000,0,0,1200000,160000,2,2,3
"H05305-04-03",1,"P05305-003",1,"Bodaboda Rider",4922,1,1,,,"P05305-003",,99,2013,8,2,"P05305-003",,2,,"P05305-003",,,,,12,,500000,0,0,0,200000,2,1,3
"H05305-04-05",1,"P05305-021",2,"retail sale of banana food, vegetables seasonal",4781,1,1,,,"P05305-020",,99,1980,8,2,"P05305-020",,2,,"P05305-020",,,,,7,1,700000,1,100000,300000,80000,2,2,3
"H05305-04-05",1,"P05305-021",1,"making ,supplying and retail sale of samosa",4799,1,1,,,"P05305-021",,99,2006,8,2,"P05305-021",,2,,"P05305-021","P05305-008","P05305-023",,,12,,600000,0,0,150000,50000,2,2,3
"H05306-04-01",1,"P05306-001",1,"wholesale of straws for making mats",4669,1,1,,,"P05306-001",,99,1996,1,2,"P05306-001",,2,,"P05306-001",,,,,12,,10000,0,0,6000,0,2,2,3
"H05306-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05308-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05309-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05310-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05310-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05403-04-01",1,"P05403-001",1,"Selling of beverage",4722,0,1,,,"P05403-001",,99,1976,2,2,"P05403-001",,2,,"P05403-001","P05403-003","P05403-007","P05403-008","P05403-005",12,,170000,0,0,50000,30000,2,2,3
"H05404-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05405-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05406-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05407-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05407-04-02",1,"P05407-010",1,"retail sale of general household merchandise",4721,1,1,,,"P05407-010",,99,2004,4,2,"P05407-010",,2,,"P05407-010","P05407-021",,,,12,,4800000,0,0,4000000,100000,2,2,3
"H05409-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05410-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05412-04-01",1,"P05412-007",1,"Whole sale of coffee maize and beans",4620,1,1,,,"P05412-007",,2,2006,8,2,"P05412-007",,2,,"P05412-007",,,,,5,1,900000,0,0,400000,100000,2,2,3
"H05412-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05412-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05701-04-01",1,"P05701-001",1,"sellingcharcoal",4789,1,1,,,"P05701-001",,8,2013,7,2,"P05701-001",,2,,"P05701-001",,,,,4,2,100000,1,10000,80000,0,2,2,3
"H05702-04-01",1,"P05702-001",1,"Manufacturing of bakery products",1071,1,1,,,"P05702-001",,99,2012,2,2,"P05702-001",,2,,"P05702-001",,,,,11,1,104000,0,0,74000,10000,2,2,3
"H05703-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05704-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05705-04-01",1,"P05705-007",1,"selling clothes and shoes",4751,1,1,,,"P05705-007",,3,2004,4,2,"P05705-007",,2,,"P05705-007",,,,,4,2,170000,0,0,100000,20000,2,2,3
"H05706-04-01",1,"P05706-002",1,"Operating a general machandise shop",4773,1,1,,,"P05706-002","P05706-001",12,2011,1,2,"P05706-002","P05706-001",2,,"P05706-002","P05706-001","P05706-003","P05706-006",,12,,500000,0,0,300000,50000,2,2,3
"H05707-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05709-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05710-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05711-04-01",1,"P05711-001",1,"Tailor of clothes",1410,0,1,,,"P05711-001",,4,1999,7,2,"P05711-001",,1,2,"P05711-001",,,,,12,,200000,0,0,80000,10000,2,2,3
"H05711-04-02",1,"P05711-011",1,"Tailor",181,0,2,,2,"P05711-001",,4,1999,,,,,,,,,,,,,,,,,,,,,3
"H05711-04-02",1,"P05711-011",2,"selling of water",9609,1,1,,,"P05711-011",,4,2014,4,1,"P05711-011",,2,,"P05711-011",,,,,5,1,210000,0,0,0,10000,2,2,3
"H05901-04-01",1,"P05901-002",1,"Market stall selling agricultural products",4789,1,1,,,"P05901-002",,99,2004,4,8,"P05901-002",,2,,"P05901-002",,,,,12,,1600000,0,0,1200000,30000,2,2,3
"H05901-04-01",1,"P05901-002",2,"Motorcycle passenger transport business",4921,1,1,,,"P05901-001",,3,2013,6,2,"P05901-001",,2,,"P05901-001",,,,,12,,,2,,,,2,2,3
"H05903-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05904-04-01",1,"P05904-002",1,"Large scale selling of maize grain",4630,1,1,,,"P05904-001",,99,2000,6,2,"P05904-001","P05904-002",1,1,"P05904-001",,,,,12,,15000000,30,2000000,10000000,1000000,1,8,3
"H05906-04-01",1,"P05906-001",1,"Traditional doctor",8690,1,1,,,"P05906-001",,99,1985,1,1,"P05906-001",,2,,"P05906-001",,,,,12,,3000000,2,400000,200000,500000,2,2,3
"H05906-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H05910-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06001-04-01",1,"P06001-002",1,"furniture work shop",3100,0,1,,,"P06001-001","P06001-001",1,2008,7,2,"P06001-001",,2,,"P06001-001",,,,,12,,1000000,2,80000,500000,50000,1,2,3
"H06005-04-01",1,"P06005-002",2,"nursery school",8510,0,1,,,"P06005-002","P06005-001",99,1997,2,2,"P06005-002","P06005-001",2,,"P06005-002","P06005-005",,,,12,,1000000,3,300000,100000,200000,8,8,3
"H06005-04-01",1,"P06005-002",1,"brick laying",2399,0,1,,,"P06005-001",,99,2008,2,2,"P06005-002","P06005-001",2,,"P06005-002",,,,,6,1,750000,1,200000,250000,0,2,2,3
"H06006-04-01",1,"P06006-002",1,"market sales person",4711,0,1,,,"P06006-002","P06006-002",12,2011,6,2,"P06006-002",,2,,"P06006-002",,,,,12,,3000000,0,0,1200000,30000,2,2,3
"H06007-04-01",1,"P06007-001",1,"makingclothes",1410,1,1,,,"P06007-001",,1,1989,3,2,"P06007-001",,2,,"P06007-001",,,,,12,,180000,0,0,10000,45000,2,2,3
"H06008-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06009-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06010-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06101-04-01",1,"P06101-002",1,"Selling of pancakes - roadside",4799,1,1,,,"P06101-002",,99,2002,6,2,"P06101-002",,2,,"P06101-002",,,,,12,,370000,0,0,250000,20000,2,2,3
"H06102-04-01",1,"P06102-002",1,"hair dressing - salon",9602,0,1,,,"P06102-002","P06102-002",99,2004,1,2,"P06102-002",,2,,"P06102-002",,,,,8,1,50000,0,0,25000,0,2,2,3
"H06103-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06104-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06104-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06104-04-03",1,"P06104-018",1,"retail sale of waragi",4722,0,1,,,"P06104-017",,99,1994,7,2,"P06104-017",,2,,"P06104-017",,,,,12,,800000,0,0,500000,40000,2,2,3
"H06105-04-01",1,"P06105-002",1,"wholesale of agricultural produce",4620,1,1,,,"P06105-001",,2,2004,5,2,"P06105-001",,2,,"P06105-001",,,,,3,1,1500000,0,0,0,385000,2,2,3
"H06105-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06107-04-01",1,"P06107-002",1,"House/ building construction. Builder",4100,1,1,,,"P06107-001",,99,1990,8,2,"P06107-001",,2,,"P06107-001",,,,,10,1,1000000,3,450000,40000,50000,2,2,3
"H06108-04-01",1,"P06108-001",1,"making mats",1629,1,1,,,"P06108-001",,99,1998,1,2,"P06108-001",,2,,"P06108-001","P06108-003",,,,12,,40000,0,0,10000,0,2,2,3
"H06109-04-01",1,"P06109-001",1,"repairing crop sprayers",9522,0,1,,,"P06109-001","P06109-001",1,1997,1,1,"P06109-001",,2,,"P06109-001",,,,,12,,300000,0,0,150000,0,2,2,3
"H06110-04-01",1,"P06110-001",1,"making mats",1629,1,1,,,"P06110-001",,99,2000,1,2,"P06110-001",,2,,"P06110-001",,,,,12,,45000,0,0,15000,0,2,2,3
"H06201-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06203-04-01",1,"P06203-001",1,"retail shop in general merchandise",4719,1,1,,,"P06203-001",,99,2009,7,2,"P06203-001",,1,7,"P06203-001","P06203-002",,,,12,,200000,0,0,50000,0,2,2,3
"H06207-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06208-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06209-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06301-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06302-04-01",1,"P06302-002",1,"Operating a Bar",4722,1,1,,,"P06302-002",,99,2012,2,2,"P06302-002",,1,9,"P06302-002",,,,,11,2,250000,0,0,160000,20000,2,2,3
"H06303-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06303-04-02",2,,1,"retail shop",4719,0,2,13,3,"P06303-012","P06303-013",9,2011,,,"P06303-013","P06303-012",,,,,,,,,,,0,,,,,,3
"H06303-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06305-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06306-04-01",1,"P06306-004",1,"Making construction bricks",2392,1,1,,,"P06306-001",,99,2007,7,1,"P06306-001",,2,,"P06306-001",,,,,12,,30000,0,0,0,0,2,2,3
"H06307-04-01",1,"P06307-001",1,"Transporting People on a motorcycle",4921,0,1,,,"P06307-007",,99,2009,6,4,"P06307-007",,2,,"P06307-007",,,,,12,,950000,0,0,80000,300000,2,2,3
"H06309-04-01",1,"P06309-001",1,"Selling soft drinks - soda",4722,1,1,,,"P06309-001",,99,2006,4,2,"P06309-001",,2,,"P06309-001",,,,,5,1,350000,0,0,300000,0,2,2,3
"H06310-04-01",1,"P06310-003",4,"maize milling machine",1061,1,1,,,"P06310-001",,2,2014,8,2,"P06310-001",,2,,"P06310-001",,,,,6,1,650000,1,50000,0,200000,8,8,3
"H06310-04-01",1,"P06310-003",5,"Passenger transportation",4921,1,1,,,"P06310-001","P06310-002",11,2013,8,2,"P06310-001","P06310-002",2,,"P06310-001",,,,,9,1,400000,1,100000,0,160000,2,2,3
"H06310-04-02",1,"P06310-016",1,"Car washing Bay",9609,0,1,,,"P06310-016",,99,2009,7,1,"P06310-016",,2,,"P06310-016",,,,,12,,500000,0,0,50000,100000,2,2,3
"H06310-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06401-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06402-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06403-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06404-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06405-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06406-04-01",1,"P06406-001",3,"produce buyer",4722,0,1,,,"P06406-001",,1,2012,1,2,"P06406-001",,2,,"P06406-001",,,,,12,,1500000,0,0,1000000,100000,2,2,3
"H06408-04-01",1,"P06408-001",1,"Wholesale Buying andSelling beans",4620,1,1,,,"P06408-002",,5,2013,6,2,"P06408-002",,2,,"P06408-002",,,,,4,1,1500000,0,0,800000,100000,2,2,3
"H06409-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H06410-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
