"District_Name","SubCounty","Parish","Villagecode","Communal_Resource_ID","C6EQ1","Other_C6EQ1","C6EQ2","C6EQ3","C6EQ4","C6EQ5","C6EQ6","C6EQ7A","C6EQ7B","C6EQ7C","C6EQ8A","C6EQ8B","C6EQ8C","C6EQ9A","C6EQ9B","C6EQ9C","C6EQ10","C6EQ11","C6EQ12","C6EQ13","C6EQ14","End_comm_resource","Survey_Visit","ComOrg_Response","Reason_Comm_Org_Not_Done"
102,102105,10210504,1021050405,104,2,,,,,,,,,,,,,,,,,,,,,,2,3,
102,102105,10210504,1021050405,105,2,,,,,,,,,,,,,,,,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,105,2,,,,,,,,,,,,,,,,,,,,,,2,3,
102,102105,10210510,1021051004,101,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102105,10210510,1021051004,102,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102105,10210510,1021051004,103,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102105,10210510,1021051004,104,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102105,10210510,1021051004,105,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102105,10210513,1021051305,101,2,,,,,,,,,,,,,,,,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,102,2,,,,,,,,,,,,,,,,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,103,2,,,,,,,,,,,,,,,,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,104,2,,,,,,,,,,,,,,,,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,105,2,,,,,,,,,,,,,,,,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210515,1021051506,101,2,,,,,,,,,,,,,,,,,,,,,,2,3,"community uses BUTABIKA HOSPITAL"
102,102105,10210515,1021051506,102,2,,,,,,,,,,,,,,,,,,,,,,2,3,"community uses BUTABIKA HOSPITAL"
102,102105,10210515,1021051506,103,2,,,,,,,,,,,,,,,,,,,,,,2,3,"community uses BUTABIKA HOSPITAL"
102,102105,10210515,1021051506,104,2,,,,,,,,,,,,,,,,,,,,,,2,3,"community uses BUTABIKA HOSPITAL"
102,102105,10210515,1021051506,105,2,,,,,,,,,,,,,,,,,,,,,,2,3,"community uses BUTABIKA HOSPITAL"
102,102105,10210518,1021051832,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102105,10210518,1021051832,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102105,10210518,1021051832,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102105,10210518,1021051832,104,1,,1,1,2,1,2,,,,4,,,8,8,8,2,2,,2,,,2,1,
102,102105,10210518,1021051832,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
103,103105,10310505,1031050505,101,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Hospital level"
103,103105,10310505,1031050505,102,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Hospital level"
103,103105,10310505,1031050505,103,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Hospital level"
103,103105,10310505,1031050505,104,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Hospital level"
103,103105,10310505,1031050505,105,1,"Household utencils",1,2,2,2,2,,,,1,96,96,1,96,96,2,2,,2,,,2,3,"Hospital level"
104,104102,10410204,1041020405,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104102,10410204,1041020405,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104102,10410204,1041020405,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104102,10410204,1041020405,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104102,10410204,1041020405,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104104,10410403,1041040304,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104104,10410403,1041040304,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104104,10410403,1041040304,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104104,10410403,1041040304,104,1,,1,1,2,1,2,,,,96,96,96,1,96,96,2,2,,2,,,2,1,
104,104104,10410403,1041040304,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104105,10410504,1041050403,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104105,10410504,1041050403,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104105,10410504,1041050403,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104105,10410504,1041050403,104,1,,1,1,2,1,2,,,,4,,,96,8,8,2,2,,2,,,2,1,
104,104105,10410504,1041050403,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104208,10420804,1042080404,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104208,10420804,1042080404,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104208,10420804,1042080404,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
104,104208,10420804,1042080404,104,1,,1,1,2,2,2,,,,96,96,96,1,96,96,2,2,,2,,,2,1,
104,104208,10420804,1042080404,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
105,105105,10510502,1051050201,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
105,105105,10510502,1051050201,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
105,105105,10510502,1051050201,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
105,105105,10510502,1051050201,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
105,105105,10510502,1051050201,105,1,"Function item hiring",1,2,2,2,2,,,,2,96,96,1,96,96,3,2,,2,,,2,1,
106,106101,10610101,1061010108,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
106,106101,10610101,1061010108,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
106,106101,10610101,1061010108,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
106,106101,10610101,1061010108,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
106,106101,10610101,1061010108,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
106,106101,10610109,1061010902,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
106,106101,10610109,1061010902,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
106,106101,10610109,1061010902,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
106,106101,10610109,1061010902,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
106,106101,10610109,1061010902,105,1,"Tents and chair rentals",1,1,2,1,2,,,,4,,,1,96,96,2,2,,2,,,2,1,
106,106106,10610606,1061060602,101,1,,1,1,2,2,2,,,,96,96,,1,96,96,2,2,,2,,,2,1,
106,106106,10610606,1061060602,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
106,106106,10610606,1061060602,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
106,106106,10610606,1061060602,104,1,,1,1,2,1,2,,,,96,96,96,1,96,96,2,2,,2,,,2,1,
106,106106,10610606,1061060602,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
107,107105,10710503,1071050302,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
107,107105,10710503,1071050302,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
107,107105,10710503,1071050302,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
107,107105,10710503,1071050302,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
107,107105,10710503,1071050302,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
107,107105,10710505,1071050503,101,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Refferal Hospital"
107,107105,10710505,1071050503,102,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Refferal Hospital"
107,107105,10710505,1071050503,103,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Refferal Hospital"
107,107105,10710505,1071050503,104,1,,1,1,2,1,2,,,,4,,,3,5,96,3,2,,2,,,2,3,"Refferal Hospital"
107,107105,10710505,1071050503,105,1,"Household items (Utensils)",1,2,2,1,2,,,,4,,,1,96,96,3,2,,2,,,2,3,"Refferal Hospital"
107,107202,10720206,1072020601,101,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Hospital"
107,107202,10720206,1072020601,102,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Hospital"
107,107202,10720206,1072020601,103,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Hospital"
107,107202,10720206,1072020601,104,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Hospital"
107,107202,10720206,1072020601,105,2,,,,,,,,,,,,,,,,,,,,,,2,3,"Hospital"
107,107302,10730203,1073020305,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
107,107302,10730203,1073020305,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
107,107302,10730203,1073020305,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
107,107302,10730203,1073020305,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
107,107302,10730203,1073020305,105,1,"Household utencils",1,2,2,1,2,,,,1,96,96,1,96,96,3,2,,2,,,2,1,
107,107305,10730507,1073050702,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
107,107305,10730507,1073050702,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
107,107305,10730507,1073050702,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
107,107305,10730507,1073050702,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
107,107305,10730507,1073050702,105,1,"Rental of tents and saucepans",1,2,2,1,2,,,,4,,,1,96,96,3,2,,2,,,2,1,
108,108106,10810603,1081060309,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108106,10810603,1081060309,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108106,10810603,1081060309,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108106,10810603,1081060309,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108106,10810603,1081060309,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108301,10830101,1083010101,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108301,10830101,1083010101,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108301,10830101,1083010101,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108301,10830101,1083010101,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108301,10830101,1083010101,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108301,10830105,1083010505,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108301,10830105,1083010505,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108301,10830105,1083010505,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108301,10830105,1083010505,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108301,10830105,1083010505,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
