"HHID","PID","h2q1","h3q2a","h3q2b","h3q3","h3q4","h3q5a","h3q5b","h3q6","h3q7","h3q9","h3q10","h3q11","h3q12","h3q13R","h3q13D","h3q14R","h3q14D","h3q15","h3q16R","h3q16D","h3q18","h3q19","wgt_X"
"H00707-04-01","P00707-001",1,3,,,,3,,,,17,2,2,2,1,110,1,102,20,1,102,5,0,1874.79821777344
"H00707-04-01","P00707-002",2,2,,41,1,1,"P00707-001",,,17,3,,,1,102,1,102,20,1,102,14,0,1874.79821777344
"H00707-04-01","P00707-008",3,3,,,,2,,99,19,17,3,,,1,110,1,102,15,1,102,2,0,1874.79821777344
"H00707-04-01","P00707-009",4,2,,41,1,3,,,,17,3,,,1,102,1,102,7,1,102,2,0,1874.79821777344
"H00707-04-01","P00707-010",5,2,,61,1,2,,99,1,17,3,,,1,102,1,102,10,1,102,2,0,1874.79821777344
"H00707-04-01","P00707-017",9,2,,31,1,2,,15,4,17,3,,,1,102,1,102,2,1,102,2,1,1874.79821777344
"H00707-04-01","P00707-018",10,3,,,,2,,16,19,17,3,,,1,105,1,105,0,1,105,2,1,1874.79821777344
"H00710-04-01","P00710-001",1,2,,73,14,2,,73,19,17,2,2,2,1,104,1,102,19,2,209,2,0,1874.79821777344
"H00710-04-01","P00710-002",2,3,,,,2,,73,19,18,2,2,2,2,209,1,102,19,2,209,14,0,1874.79821777344
"H00710-04-01","P00710-003",3,1,"P00710-001",,,1,"P00710-002",,,17,9,,,1,104,1,102,19,1,104,14,0,1874.79821777344
"H00710-04-01","P00710-004",4,1,"P00710-001",,,1,"P00710-002",,,17,3,,,1,104,1,102,19,1,104,14,0,1874.79821777344
"H00710-04-01","P00710-005",5,1,"P00710-001",,,1,"P00710-002",,,17,3,,,1,102,1,102,10,1,102,14,0,1874.79821777344
"H00710-04-01","P00710-006",6,1,"P00710-001",,,1,"P00710-002",,,17,9,,,1,104,1,102,12,1,104,14,0,1874.79821777344
"H00710-04-01","P00710-007",7,2,,34,5,2,,17,1,17,3,,,1,104,1,102,12,1,104,8,0,1874.79821777344
"H00712-04-01","P00712-001",1,3,,,,3,,,,17,1,9,2,1,104,1,102,22,1,102,2,0,1874.79821777344
"H00712-04-01","P00712-002",2,3,,,,3,,,,17,1,9,2,1,113,1,102,22,1,102,14,0,1874.79821777344
"H00712-04-01","P00712-005",5,1,"P00712-001",,,1,"P00712-002",,,17,3,,,1,102,1,102,22,1,102,14,0,1874.79821777344
"H00712-04-01","P00712-006",6,1,"P00712-001",,,1,"P00712-002",,,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00801-04-01","P00801-001",1,3,,,,2,,3,4,57,2,2,2,3,303,1,102,3,1,102,2,1,1874.79821777344
"H00801-04-01","P00801-002",2,3,,,,2,,2,5,57,2,2,2,3,303,1,102,3,1,102,2,1,1874.79821777344
"H00801-04-01","P00801-003",3,1,"P00801-001",,,1,"P00801-002",,,57,2,2,2,1,102,1,102,3,1,102,14,1,1874.79821777344
"H00801-04-01","P00801-008",4,1,"P00801-001",,,1,"P00801-002",,,57,2,2,2,1,102,,,3,1,102,14,1,1874.79821777344
"H00801-04-01","P00801-014",5,2,,3,5,2,,3,7,57,3,,,3,303,3,303,3,3,303,2,0,1874.79821777344
"H00801-04-01","P00801-015",6,3,,,,2,,2,19,57,3,,,3,303,3,303,1,3,303,1,0,1874.79821777344
"H00802-04-01","P00802-001",1,3,,,,3,,,,34,3,,,1,117,1,102,11,1,108,1,1,1874.79821777344
"H00802-04-01","P00802-002",2,3,,,,3,,,,29,2,9,2,1,102,1,102,9,1,108,1,1,1874.79821777344
"H00802-04-01","P00802-003",3,1,"P00802-001",,,1,"P00802-002",,,34,2,9,2,1,102,,,100,,,,,1874.79821777344
"H00802-04-01","P00802-006",4,2,,99,19,3,,,,34,3,,,1,112,1,112,5,1,112,1,1,1874.79821777344
"H00803-04-01","P00803-001",1,3,,,,3,,,,17,2,2,1,1,110,1,102,5,1,102,2,1,1874.79821777344
"H00803-04-01","P00803-002",2,3,,,,1,"P00803-001",,,17,2,2,2,1,102,1,102,5,1,102,14,1,1874.79821777344
"H00803-04-01","P00803-003",3,3,,,,1,"P00803-001",,,17,2,2,2,1,102,1,102,5,1,102,14,1,1874.79821777344
"H00803-04-01","P00803-007",6,2,,32,19,2,,33,19,17,2,2,2,1,110,1,102,5,1,102,2,1,1874.79821777344
"H00803-04-01","P00803-009",7,2,,8,1,1,"P00803-002",,,17,2,2,2,1,102,,,100,,,,,1874.79821777344
"H00803-04-01","P00803-010",8,2,,32,19,2,,33,19,17,2,2,2,1,110,1,110,2,1,110,8,0,1874.79821777344
"H00805-04-01","P00805-001",1,2,,3,22,3,,,,17,1,9,2,1,104,1,102,10,1,104,8,0,1874.79821777344
"H00805-04-01","P00805-002",2,2,,3,1,2,,4,5,17,1,9,2,1,108,1,108,3,1,108,9,0,1874.79821777344
"H00805-04-01","P00805-003",3,1,"P00805-001",,,1,"P00805-002",,,17,1,9,2,1,102,,,100,,,,,1874.79821777344
"H00805-04-01","P00805-004",4,1,"P00805-001",,,1,"P00805-002",,,17,1,9,2,1,102,,,100,,,,,1874.79821777344
"H00809-04-01","P00809-001",1,3,,,,3,,,,17,1,1,2,1,105,1,102,12,1,105,1,0,1874.79821777344
"H00809-04-01","P00809-002",2,3,,,,3,,,,17,1,1,2,1,105,1,102,12,1,105,9,0,1874.79821777344
