"HHID","ALiveStock_Small_ID","a6bq2","a6bq3a","a6bq3b","a6bq3c","a6bq3d","a6bq3e","a6bq4a","a6bq4b","a6bq4c","a6bq5a","a6bq5b","a6bq5c","a6bq6","a6bq7","a6bq8","a6bq9","a6bq10","a6bq11","a6bq12","a6bq13a","a6bq13b","a6bq14a","a6bq14b","a6bq15","a6bq15b","a6bq15c","a6bq16","hh","wgt_X"
39090402,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,18,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,19,1,3,3909026,3909027,3909026,3909027,0,,,0,,,1,2,0,0,0,0,0,0,,0,,0,1,3,1,"H03909-04-02",1275.85070800781
39090402,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,22,1,2,3909031,,3909031,3909026,0,,,0,,,0,0,2,0,0,0,0,0,,0,,0,1,3,1,"H03909-04-02",1275.85070800781
39100401,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,18,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,19,1,2,3910001,,3910001,,0,,,0,,,1,2,0,0,0,1,0,0,,0,,0,1,1,1,"H03910-04-01",2551.70141601563
39100401,20,1,4,3910001,,3910001,,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,1,1,1,"H03910-04-01",2551.70141601563
39100401,21,1,0,,,,,0,,,0,,,1,0,0,0,0,1,0,0,,0,,0,1,1,1,"H03910-04-01",2551.70141601563
39100401,22,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03910-04-01",2551.70141601563
40020401,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
