"District_Name","SubCounty","Parish","Villagecode","Class_ID","C3KQ52","C3KQ53","C3KQ54","C3KQ55A","C3KQ55B","C3KQ56","C3KQ57","C3KQ58","C3KQ59","C3KQ60","C3KQ61","C3KQ62","C3KQ63","C3KQ64","C3KQ65","C3KQ66","C3KQ52_V2","C3KQ53_V2","C3KQ54_V2","C3KQ55A_V2","C3KQ55B_V2","C3KQ56_V2","C3KQ57_V2","C3KQ58_V2","C3KQ59_V2","C3KQ60_V2","C3KQ61_V2","C3KQ62_V2","C3KQ63_V2","C3KQ64_V2","C3KQ65_V2","C3KQ66_V2","Education_Response","Reason_Edu_Not_Done"
102,102104,10210410,1021041002,1,,2,2,42,48,2,5,1,,,,1,39,2,1,1,,2,2,24,27,2,3,1,,,,1,50,2,1,1,2,
102,102104,10210410,1021041002,2,,2,2,26,35,2,5,1,,,,1,41,3,1,1,,2,1,23,32,2,5,1,,,,1,47,2,1,1,2,
102,102104,10210410,1021041002,3,,2,2,41,42,1,1,1,,,,1,62,3,1,1,,2,2,23,35,2,5,1,,,,1,47,2,1,1,2,
102,102104,10210410,1021041002,4,,1,1,48,42,1,1,1,,,,1,61,3,1,1,,2,1,31,37,1,3,1,,,,1,57,2,1,1,2,
102,102104,10210410,1021041002,5,,1,2,42,47,1,1,1,,,,1,60,3,1,1,,1,2,34,40,1,3,2,1,,,1,66,2,1,1,2,
102,102104,10210410,1021041002,6,,2,1,42,47,1,1,1,,,,1,65,3,1,1,,1,1,38,39,1,1,1,,,,1,58,2,1,1,2,
102,102104,10210410,1021041002,7,,1,1,31,46,1,1,1,,,,1,41,1,1,1,,1,1,17,25,1,1,1,,,,1,37,1,1,1,2,
102,102104,10210411,1021041118,1,,,,,,,,,,,,,,,,,,2,1,31,48,2,5,1,,,,2,76,1,1,1,,
102,102104,10210411,1021041118,2,,,,,,,,,,,,,,,,,,2,2,28,23,1,4,1,,,,1,47,1,1,1,,
102,102104,10210411,1021041118,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102104,10210411,1021041118,4,,,,,,,,,,,,,,,,,,2,1,34,42,1,4,1,,,,1,64,1,1,1,,
102,102104,10210411,1021041118,5,,,,,,,,,,,,,,,,,,2,1,49,48,1,4,1,,,,1,82,1,1,1,,
102,102104,10210411,1021041118,6,,,,,,,,,,,,,,,,,,2,1,35,47,1,4,1,,,,1,79,1,1,1,,
102,102104,10210411,1021041118,7,,,,,,,,,,,,,,,,,,2,1,41,34,1,3,1,,,,1,69,1,1,1,,
102,102104,10210417,1021041701,1,,,,,,,,,,,,,,,,,,2,2,174,106,1,3,1,,,,1,252,1,1,1,3,"no one was present at school"
102,102104,10210417,1021041701,2,,,,,,,,,,,,,,,,,,1,2,206,191,1,3,1,,,,2,380,1,1,1,3,"no one was present at school"
102,102104,10210417,1021041701,3,,,,,,,,,,,,,,,,,,2,1,251,221,1,3,1,,,,1,461,1,1,1,3,"no one was present at school"
102,102104,10210417,1021041701,4,,,,,,,,,,,,,,,,,,1,1,260,230,1,3,1,,,,1,463,1,1,1,3,"no one was present at school"
102,102104,10210417,1021041701,5,,,,,,,,,,,,,,,,,,1,2,283,293,1,3,1,,,,1,545,1,1,1,3,"no one was present at school"
102,102104,10210417,1021041701,6,,,,,,,,,,,,,,,,,,2,1,234,255,1,3,1,,,,1,460,1,1,1,3,"no one was present at school"
102,102104,10210417,1021041701,7,,,,,,,,,,,,,,,,,,2,1,213,201,1,3,1,,,,1,392,1,1,1,3,"no one was present at school"
102,102104,10210419,1021041903,1,,2,2,25,48,2,5,1,,,,2,33,1,3,1,,2,2,25,48,2,5,1,,,,2,33,1,3,1,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,2,,2,2,37,30,2,5,1,,,,1,23,1,2,1,,2,2,37,30,2,5,1,,,,1,23,1,2,1,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,3,,2,3,31,33,2,5,1,,,,2,34,1,1,1,,2,3,31,33,2,5,1,,,,2,34,1,1,1,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,4,,2,1,38,37,2,4,1,,,,1,45,1,1,1,,2,1,38,37,2,4,1,,,,1,45,1,1,1,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,5,,2,2,21,40,1,4,1,,,,2,51,1,1,2,,2,2,21,40,1,4,1,,,,2,51,1,1,2,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,6,,2,1,26,25,2,5,1,,,,1,44,1,1,1,,2,1,26,25,2,5,1,,,,1,44,1,1,1,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,7,,1,2,29,22,1,4,1,,,,1,48,1,1,2,,1,2,29,22,1,4,1,,,,1,48,1,1,2,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102105,10210501,1021050106,1,,2,2,17,18,2,4,1,,,,1,35,1,1,1,,,,,,,,,,,,,,,,,1,
102,102105,10210501,1021050106,2,,2,2,13,19,2,5,1,,,,1,31,1,1,1,,,,,,,,,,,,,,,,,1,
102,102105,10210501,1021050106,3,,2,1,7,7,2,2,1,,,,1,13,1,1,1,,,,,,,,,,,,,,,,,1,
102,102105,10210501,1021050106,4,,1,2,10,13,1,3,1,,,,1,22,1,1,1,,,,,,,,,,,,,,,,,1,
