"HHID","LiveStockID","a6aq2","a6aq3a","a6aq3b","a6aq3c","a6aq3d","a6aq3e","a6aq4a","a6aq4b","a6aq4c","a6aq5a","a6aq5b","a6aq5c","a6aq6","a6aq7","a6aq8","a6aq9","a6aq10","a6aq11","a6aq12","a6aq13a","a6aq13b","a6aq14a","a6aq14b","a6aq15","a6aq15b","a6aq15c","a6aq16","hh","wgt_X"
42080402,1,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04208-04-02",1275.85070800781
42080402,2,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04208-04-02",1275.85070800781
42080402,3,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04208-04-02",1275.85070800781
42080402,4,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04208-04-02",1275.85070800781
42080402,5,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04208-04-02",1275.85070800781
42080402,6,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04208-04-02",1275.85070800781
42080402,7,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04208-04-02",1275.85070800781
42080402,8,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04208-04-02",1275.85070800781
42080402,9,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04208-04-02",1275.85070800781
42080402,10,1,2,4208001,4208002,4208002,4208004,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,1,2,1,"H04208-04-02",1275.85070800781
42080402,11,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04208-04-02",1275.85070800781
42080402,12,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04208-04-02",1275.85070800781
45080403,1,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04508-04-03",698.11669921875
45080403,2,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04508-04-03",698.11669921875
45080403,3,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04508-04-03",698.11669921875
45080403,4,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04508-04-03",698.11669921875
45080403,5,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04508-04-03",698.11669921875
45080403,6,1,1,4508014,4508015,4508014,4508015,0,,,0,,,0,1,0,0,0,0,0,0,,0,,0,1,2,2,"H04508-04-03",698.11669921875
45080403,7,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04508-04-03",698.11669921875
45080403,8,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04508-04-03",698.11669921875
45080403,9,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04508-04-03",698.11669921875
45080403,10,1,1,4508014,4508015,4508014,4508015,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,2,2,"H04508-04-03",698.11669921875
45080403,11,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04508-04-03",698.11669921875
45080403,12,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04508-04-03",698.11669921875
45090401,1,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04509-04-01",2792.466796875
45090401,2,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04509-04-01",2792.466796875
45090401,3,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04509-04-01",2792.466796875
45090401,4,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04509-04-01",2792.466796875
45090401,5,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04509-04-01",2792.466796875
45090401,6,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04509-04-01",2792.466796875
45090401,7,1,1,4509001,,4509010,,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,5,1,1,"H04509-04-01",2792.466796875
45090401,8,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04509-04-01",2792.466796875
45090401,9,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04509-04-01",2792.466796875
45090401,10,1,25,4509002,4509001,4509002,,0,,,0,,,17,9,0,0,0,0,0,0,,1,750000,0,1,5,1,"H04509-04-01",2792.466796875
45090401,11,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04509-04-01",2792.466796875
45090401,12,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04509-04-01",2792.466796875
46030401,1,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04603-04-01",2792.466796875
46030401,2,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04603-04-01",2792.466796875
46030401,3,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04603-04-01",2792.466796875
46030401,4,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04603-04-01",2792.466796875
46030401,5,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04603-04-01",2792.466796875
46030401,6,1,1,4603001,,4603001,4603002,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,3,1,"H04603-04-01",2792.466796875
46030401,7,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04603-04-01",2792.466796875
46030401,8,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04603-04-01",2792.466796875
46030401,9,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04603-04-01",2792.466796875
46030401,10,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04603-04-01",2792.466796875
46030401,11,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04603-04-01",2792.466796875
46030401,12,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04603-04-01",2792.466796875
46060402,1,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04606-04-02",1396.2333984375
46060402,2,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04606-04-02",1396.2333984375
46060402,3,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04606-04-02",1396.2333984375
46060402,4,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04606-04-02",1396.2333984375
46060402,5,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04606-04-02",1396.2333984375
46060402,6,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04606-04-02",1396.2333984375
46060402,7,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04606-04-02",1396.2333984375
46060402,8,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04606-04-02",1396.2333984375
46060402,9,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04606-04-02",1396.2333984375
46060402,10,1,1,4606019,,4606019,,0,,,0,,,1,1,0,0,0,0,1,0,,0,,0,1,5,1,"H04606-04-02",1396.2333984375
46060402,11,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04606-04-02",1396.2333984375
46060402,12,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04606-04-02",1396.2333984375
46100401,1,1,1,4610001,4610002,4610001,4610002,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,2,1,"H04610-04-01",930.822265625
46100401,2,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04610-04-01",930.822265625
46100401,3,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04610-04-01",930.822265625
46100401,4,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04610-04-01",930.822265625
46100401,5,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04610-04-01",930.822265625
46100401,6,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04610-04-01",930.822265625
46100401,7,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04610-04-01",930.822265625
46100401,8,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04610-04-01",930.822265625
46100401,9,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04610-04-01",930.822265625
46100401,10,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04610-04-01",930.822265625
46100401,11,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04610-04-01",930.822265625
46100401,12,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04610-04-01",930.822265625
48060401,1,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04806-04-01",2792.466796875
48060401,2,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04806-04-01",2792.466796875
48060401,3,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04806-04-01",2792.466796875
48060401,4,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04806-04-01",2792.466796875
48060401,5,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04806-04-01",2792.466796875
48060401,6,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04806-04-01",2792.466796875
48060401,7,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04806-04-01",2792.466796875
48060401,8,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04806-04-01",2792.466796875
48060401,9,1,0,,,,,0,,,0,,,1,0,0,0,0,0,0,0,,1,700000,0,1,2,1,"H04806-04-01",2792.466796875
48060401,10,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04806-04-01",2792.466796875
48060401,11,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04806-04-01",2792.466796875
48060401,12,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04806-04-01",2792.466796875
48080401,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"H04808-04-01",1396.2333984375
48080401,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"H04808-04-01",1396.2333984375
48080401,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"H04808-04-01",1396.2333984375
48080401,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"H04808-04-01",1396.2333984375
48080401,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"H04808-04-01",1396.2333984375
48080401,6,1,1,4808001,,4808001,4808005,0,,,,,,0,1,0,0,0,0,0,0,,0,,0,1,2,1,"H04808-04-01",1396.2333984375
48080401,7,1,1,4808001,,4808001,4808002,0,,,,,,0,0,0,0,0,0,0,1,250000,0,,0,1,5,1,"H04808-04-01",1396.2333984375
48080401,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"H04808-04-01",1396.2333984375
48080401,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"H04808-04-01",1396.2333984375
48080401,10,1,1,4808001,,4808001,4808005,0,,,,,,1,0,0,0,0,0,0,0,,0,,0,1,5,1,"H04808-04-01",1396.2333984375
48080401,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"H04808-04-01",1396.2333984375
48080401,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"H04808-04-01",1396.2333984375
49100401,1,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04910-04-01",2792.466796875
49100401,2,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04910-04-01",2792.466796875
49100401,3,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04910-04-01",2792.466796875
49100401,4,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04910-04-01",2792.466796875
49100401,5,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04910-04-01",2792.466796875
49100401,6,1,1,4910001,4910002,4910001,4910002,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,1,1,"H04910-04-01",2792.466796875
49100401,7,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04910-04-01",2792.466796875
49100401,8,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04910-04-01",2792.466796875
49100401,9,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04910-04-01",2792.466796875
49100401,10,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04910-04-01",2792.466796875
49100401,11,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04910-04-01",2792.466796875
49100401,12,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04910-04-01",2792.466796875
50020401,1,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05002-04-01",2792.46655273438
50020401,2,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05002-04-01",2792.46655273438
50020401,3,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05002-04-01",2792.46655273438
50020401,4,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05002-04-01",2792.46655273438
50020401,5,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05002-04-01",2792.46655273438
50020401,6,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05002-04-01",2792.46655273438
50020401,7,1,0,,,,,0,,,0,,,1,0,0,0,0,0,0,0,,1,800000,0,1,3,1,"H05002-04-01",2792.46655273438
50020401,8,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05002-04-01",2792.46655273438
50020401,9,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05002-04-01",2792.46655273438
50020401,10,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05002-04-01",2792.46655273438
50020401,11,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05002-04-01",2792.46655273438
50020401,12,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05002-04-01",2792.46655273438
53040401,1,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05304-04-01",2792.466796875
53040401,2,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05304-04-01",2792.466796875
53040401,3,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05304-04-01",2792.466796875
53040401,4,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05304-04-01",2792.466796875
53040401,5,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05304-04-01",2792.466796875
53040401,6,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05304-04-01",2792.466796875
53040401,7,1,0,,,,,2,5304002,,0,,,0,0,0,0,0,0,0,0,,0,,0,1,9,3,"H05304-04-01",2792.466796875
53040401,8,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05304-04-01",2792.466796875
53040401,9,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05304-04-01",2792.466796875
53040401,10,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05304-04-01",2792.466796875
53040401,11,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05304-04-01",2792.466796875
53040401,12,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05304-04-01",2792.466796875
53050401,1,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05305-04-01",465.4111328125
53050401,2,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05305-04-01",465.4111328125
53050401,3,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05305-04-01",465.4111328125
53050401,4,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05305-04-01",465.4111328125
53050401,5,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05305-04-01",465.4111328125
53050401,6,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05305-04-01",465.4111328125
53050401,7,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05305-04-01",465.4111328125
53050401,8,1,1,5305001,5305002,5305001,5305002,0,,,0,,,0,1,0,0,0,0,0,0,,0,,0,1,1,1,"H05305-04-01",465.4111328125
53050401,9,1,0,,,,,2,5305001,5305002,0,,,0,0,0,0,0,0,0,0,,0,,0,1,1,3,"H05305-04-01",465.4111328125
53050401,10,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05305-04-01",465.4111328125
53050401,11,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H05305-04-01",465.4111328125
