"HHID","h15eq2","h15eq2_1","h15eq3","wgt_X"
"H06104-04-03",803,1,30000,850.567138671875
"H06104-04-03",807,1,4000,850.567138671875
"H06105-04-01",806,1,100000,1275.85070800781
"H06105-04-02",806,1,70000,1275.85070800781
"H06105-04-02",807,1,300000,1275.85070800781
"H06107-04-01",806,1,100000,2551.70141601563
"H06107-04-01",807,1,30000,2551.70141601563
"H06108-04-01",807,1,20000,2551.70141601563
"H06109-04-01",806,1,100000,2551.70141601563
"H06109-04-01",807,1,50000,2551.70141601563
"H06110-04-01",806,1,20000,2551.70141601563
"H06110-04-01",807,1,40000,2551.70141601563
"H06201-04-01",806,1,150000,2551.701171875
"H06207-04-01",806,1,120000,2551.701171875
"H06207-04-01",807,1,600000,2551.701171875
"H06301-04-01",806,1,20000,2551.70141601563
"H06301-04-01",807,1,10000,2551.70141601563
"H06302-04-01",806,1,100000,2551.70141601563
"H06302-04-01",807,1,70000,2551.70141601563
"H06302-04-01",808,1,10000,2551.70141601563
"H06307-04-01",806,1,50000,2551.70141601563
"H06307-04-01",807,1,8000,2551.70141601563
"H06310-04-01",806,1,50000,850.567138671875
"H06310-04-01",807,1,10000,850.567138671875
"H06310-04-01",809,1,168000,850.567138671875
"H06310-04-02",806,1,240000,850.567138671875
"H06310-04-02",807,1,5000,850.567138671875
"H06402-04-01",806,1,200000,2551.70141601563
"H06406-04-01",806,1,130000,2551.70141601563
"H06406-04-01",807,1,150000,2551.70141601563
"H06408-04-01",807,1,30000,2551.70141601563
"H06410-04-01",806,1,600000,2551.70141601563
"H06411-04-01",806,1,100000,2551.70141601563
"H06411-04-01",807,1,13000,2551.70141601563
"H06601-04-01",806,1,2800000,2551.70141601563
"H06601-04-01",807,1,80000,2551.70141601563
"H06601-04-01",808,1,1200000,2551.70141601563
"H06603-04-01",807,1,150000,2551.70141601563
"H06603-04-01",809,1,120000,2551.70141601563
"H06606-04-01",806,1,5000,2551.70141601563
"H06606-04-01",807,1,10000,2551.70141601563
