"HHID","h14q2","h14q3","h14q4","h14q3A","h14q3B","h14q5","h14q2b","h14q8","h14q2c","h14q6","h14q7","wgt_X"
"H00312-04-01",17,2,,,,,,,,,,1874.79821777344
"H00312-04-01",18,2,,,,,,,,,,1874.79821777344
"H00312-04-01",19,2,,,,,,,,,,1874.79821777344
"H00312-04-01",20,2,,,,,,,,,,1874.79821777344
"H00312-04-01",21,2,,,,,,,,,,1874.79821777344
"H00312-04-01",22,2,,,,,,,,,,1874.79821777344
"H00313-04-01",1,1,2,"P00313-001",,40000000,1,,50000000,,1,1874.79821777344
"H00313-04-01",2,2,,,,,1,0,50000000,6,,1874.79821777344
"H00313-04-01",3,2,,,,,,,,,,1874.79821777344
"H00313-04-01",4,1,,"P00313-001",,500000,,,700000,,,1874.79821777344
"H00313-04-01",5,1,2,"P00313-001","P00313-002",30000,3,,150000,2,,1874.79821777344
"H00313-04-01",6,1,2,"P00313-001",,400000,2,,150000,,,1874.79821777344
"H00313-04-01",7,1,2,"P00313-001",,100000,1,,100000,,1,1874.79821777344
"H00313-04-01",8,2,,,,,,,,,,1874.79821777344
"H00313-04-01",9,2,,,,,,,,,,1874.79821777344
"H00313-04-01",10,2,,,,,,,,,,1874.79821777344
"H00313-04-01",11,2,,,,,,,,,,1874.79821777344
"H00313-04-01",12,2,,,,,,,,,,1874.79821777344
"H00313-04-01",13,2,,,,,,,,,,1874.79821777344
"H00313-04-01",14,2,,,,,,,,,,1874.79821777344
"H00313-04-01",15,2,,,,,,,,,,1874.79821777344
"H00313-04-01",16,1,4,"P00313-001","P00313-002",400000,3,,120000,,1,1874.79821777344
"H00313-04-01",17,2,,,,,,,,,,1874.79821777344
"H00313-04-01",18,2,,,,,,,,,,1874.79821777344
"H00313-04-01",19,2,,,,,,,,,,1874.79821777344
"H00313-04-01",20,2,,,,,,,,,,1874.79821777344
"H00313-04-01",21,1,1,"P00313-001",,300000,2,,200000,2,,1874.79821777344
"H00313-04-01",22,1,1,"P00313-001",,100000,,,100000,,1,1874.79821777344
"H00606-04-01",1,2,,,,,,,,,,1874.79821777344
"H00606-04-01",2,2,,,,,,,,,,1874.79821777344
"H00606-04-01",3,2,,,,,,,,,,1874.79821777344
"H00606-04-01",4,1,,"P00606-001","P00606-002",630000,,,,,,1874.79821777344
"H00606-04-01",5,2,,,,,,,,,,1874.79821777344
"H00606-04-01",6,1,1,"P00606-001","P00606-002",300000,,,,,,1874.79821777344
"H00606-04-01",7,1,1,"P00606-001","P00606-002",15000,,,,,,1874.79821777344
"H00606-04-01",8,2,,,,,,,,,,1874.79821777344
"H00606-04-01",9,2,,,,,,,,,,1874.79821777344
"H00606-04-01",10,2,,,,,,,,,,1874.79821777344
"H00606-04-01",11,2,,,,,,,,,,1874.79821777344
"H00606-04-01",12,2,,,,,,,,,,1874.79821777344
"H00606-04-01",13,2,,,,,,,,,,1874.79821777344
"H00606-04-01",14,2,,,,,,,,,,1874.79821777344
"H00606-04-01",15,2,,,,,,,,,,1874.79821777344
"H00606-04-01",16,1,2,"P00606-001","P00606-002",40000,,,,,,1874.79821777344
"H00606-04-01",17,2,,,,,,,,,,1874.79821777344
"H00606-04-01",18,2,,,,,,,,,,1874.79821777344
"H00606-04-01",19,2,,,,,,,,,,1874.79821777344
"H00606-04-01",20,2,,,,,,,,,,1874.79821777344
"H00606-04-01",21,1,4,"P00606-001","P00606-002",250000,,,,,,1874.79821777344
"H00606-04-01",22,2,,,,,,,,,,1874.79821777344
"H00704-04-01",1,2,,,,,1,,5000000,2,,1874.79821777344
"H00704-04-01",2,2,,,,,,,,,,1874.79821777344
"H00704-04-01",3,1,,"P00704-001","P00704-001",3500000,,,1000000,,,1874.79821777344
"H00704-04-01",4,2,,,,,,,100000,,,1874.79821777344
"H00704-04-01",5,2,,,,,,,,,,1874.79821777344
"H00704-04-01",6,2,,,,,1,,170000,1,,1874.79821777344
"H00704-04-01",7,2,,,,,1,,20000,2,,1874.79821777344
"H00704-04-01",8,2,,,,,,,,,,1874.79821777344
"H00704-04-01",9,2,,,,,,,,,,1874.79821777344
"H00704-04-01",10,1,1,"P00704-001","P00704-002",65000,1,,190000,,,1874.79821777344
"H00704-04-01",11,2,,,,,1,,1000000,1,,1874.79821777344
"H00704-04-01",12,2,,,,,,,,,,1874.79821777344
"H00704-04-01",13,2,,,,,,,,,,1874.79821777344
"H00704-04-01",14,2,,,,,,,,,,1874.79821777344
"H00704-04-01",15,2,,,,,,,,,,1874.79821777344
"H00704-04-01",16,1,3,"P00704-001","P00704-002",180000,3,,210000,,,1874.79821777344
"H00704-04-01",17,2,,,,,,,,,,1874.79821777344
"H00704-04-01",18,2,,,,,,,,,,1874.79821777344
"H00704-04-01",19,2,,,,,,,,,,1874.79821777344
"H00704-04-01",20,2,,,,,,,,,,1874.79821777344
"H00704-04-01",21,2,,,,,,,,,,1874.79821777344
"H00704-04-01",22,2,,,,,,,,,,1874.79821777344
"H00707-04-01",1,1,1,"P00707-001","P00707-001",80000000,,,,,,1874.79821777344
"H00707-04-01",2,1,1,"P00707-002","P00707-001",25000000,,,,,,1874.79821777344
"H00707-04-01",3,2,,,,,,,,,,1874.79821777344
"H00707-04-01",4,1,,"P00707-001","P00707-002",800000,,,,,,1874.79821777344
"H00707-04-01",5,2,,,,,,,,,,1874.79821777344
"H00707-04-01",6,1,1,"P00707-001","P00707-008",300000,,,,,,1874.79821777344
"H00707-04-01",7,1,1,"P00707-001","P00707-002",30000,,,,,,1874.79821777344
"H00707-04-01",8,2,,,,,,,,,,1874.79821777344
"H00707-04-01",9,2,,,,,,,,,,1874.79821777344
"H00707-04-01",10,2,,,,,,,,,,1874.79821777344
"H00707-04-01",11,2,,,,,,,,,,1874.79821777344
"H00707-04-01",12,1,1,"P00707-001","P00707-002",8000000,,,,,,1874.79821777344
"H00707-04-01",13,2,,,,,,,,,,1874.79821777344
"H00707-04-01",14,2,,,,,,,,,,1874.79821777344
"H00707-04-01",15,2,,,,,,,,,,1874.79821777344
"H00707-04-01",16,1,2,"P00707-001","P00707-002",400000,,,,,,1874.79821777344
"H00707-04-01",17,2,,,,,,,,,,1874.79821777344
"H00707-04-01",18,2,,,,,,,,,,1874.79821777344
"H00707-04-01",19,2,,,,,,,,,,1874.79821777344
"H00707-04-01",20,2,,,,,,,,,,1874.79821777344
"H00707-04-01",21,2,,,,,,,,,,1874.79821777344
"H00707-04-01",22,2,,,,,,,,,,1874.79821777344
"H00710-04-01",1,1,1,"P00710-001","P00710-002",20000000,1,,20000000,,,1874.79821777344
"H00710-04-01",2,2,,,,,,,,,,1874.79821777344
"H00710-04-01",3,2,,,,,,,7500000,,,1874.79821777344
"H00710-04-01",4,1,,"P00710-001","P00710-002",200000,,,15000,,,1874.79821777344
"H00710-04-01",5,2,,,,,,,,,,1874.79821777344
"H00710-04-01",6,2,,,,,1,,250000,1,,1874.79821777344
"H00710-04-01",7,2,,,,,,,,,,1874.79821777344
"H00710-04-01",8,2,,,,,,,,,,1874.79821777344
"H00710-04-01",9,2,,,,,,,,,,1874.79821777344
"H00710-04-01",10,2,,,,,,,,,,1874.79821777344
"H00710-04-01",11,2,,,,,,,,,,1874.79821777344
"H00710-04-01",12,2,,,,,,,,,,1874.79821777344
"H00710-04-01",13,2,,,,,,,,,,1874.79821777344
"H00710-04-01",14,2,,,,,,,,,,1874.79821777344
"H00710-04-01",15,1,1,"P00710-006",,7000,,,,,1,1874.79821777344
"H00710-04-01",16,1,2,"P00710-001","P00710-002",120000,2,,140000,,,1874.79821777344
"H00710-04-01",17,2,,,,,,,,,,1874.79821777344
"H00710-04-01",18,2,,,,,,,,,,1874.79821777344
"H00710-04-01",19,2,,,,,,,,,,1874.79821777344
"H00710-04-01",20,2,,,,,,,,,,1874.79821777344
