"District_Name","SubCounty","Parish","Villagecode","medical_staff_ID","C4PQ118","C4PQ119","C4PQ120","C4PQ121","C4PQ122_1","C4PQ122_2","C4PQ123","C4PQ117_V2","C4PQ118_V2","C4PQ119_V2","C4PQ120_V2","C4PQ121_V2","C4PQ122_1_V2","C4PQ122_2_V2","C4PQ123_V2","Health_Response","Reason_Health_Not_Done"
102,102103,10210309,1021030904,10,2,13,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,10,2,13,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,11,1,13,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,11,1,13,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,12,2,96,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,12,2,96,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,13,2,7,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,13,2,7,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,14,2,7,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,14,2,7,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,15,2,7,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,15,2,7,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,16,2,7,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,16,2,7,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,17,1,14,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,17,1,14,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,18,1,14,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,18,1,14,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,19,1,14,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,19,1,14,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,20,1,14,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,20,1,14,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,21,2,12,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,21,2,12,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,22,1,12,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,22,1,12,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,23,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,23,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,24,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,24,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,25,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,25,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,26,2,6,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,26,2,6,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,27,1,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,27,1,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,28,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,28,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,29,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,29,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,30,2,6,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,30,2,6,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,31,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,31,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,32,2,6,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,32,2,6,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,33,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,33,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,34,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,34,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,35,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,35,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,36,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,36,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,37,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,37,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,38,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,38,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,39,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,39,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,40,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,40,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,41,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,41,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,42,2,3,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,42,2,3,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,43,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,43,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,44,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,44,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,45,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,45,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,46,2,3,2,1,10,,1,,,,,,,,,1,
102,102103,10210309,1021030904,46,2,3,2,1,10,,1,,,,,,,,,1,
102,102103,10210309,1021030904,47,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,47,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,48,2,3,2,1,13,,1,,,,,,,,,1,
102,102103,10210309,1021030904,48,2,3,2,1,13,,1,,,,,,,,,1,
102,102103,10210309,1021030904,49,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,49,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,50,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,50,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,51,2,3,2,1,5,,1,,,,,,,,,1,
102,102103,10210309,1021030904,51,2,3,2,1,5,,1,,,,,,,,,1,
102,102103,10210309,1021030904,52,1,15,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,52,1,15,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,53,2,15,2,1,13,,1,,,,,,,,,1,
102,102103,10210309,1021030904,53,2,15,2,1,13,,1,,,,,,,,,1,
102,102103,10210309,1021030904,54,1,96,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,54,1,96,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,55,2,8,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,55,2,8,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,56,2,8,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,56,2,8,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,57,2,8,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,57,2,8,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,58,2,8,2,1,1,,1,,,,,,,,,1,
102,102103,10210309,1021030904,58,2,8,2,1,1,,1,,,,,,,,,1,
102,102103,10210309,1021030904,59,1,16,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,59,1,16,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,60,1,16,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,60,1,16,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,61,1,16,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,61,1,16,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,62,2,16,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,62,2,16,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,63,2,16,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,63,2,16,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,64,1,96,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,64,1,96,1,,,,1,,,,,,,,,1,
102,102103,10210312,1021031208,,,,,,,,,,,,,,,,,3,"THE COMMUNITY MAINLY USES LUBAGA HOSPITAL"
102,102104,10210401,1021040102,1,2,96,1,,,,1,,2,96,1,,,,1,1,
102,102104,10210401,1021040102,2,2,2,1,,,,1,,2,2,1,,,,1,1,
102,102104,10210401,1021040102,3,1,2,1,,,,1,,1,2,1,,,,1,1,
102,102104,10210401,1021040102,4,1,2,1,,,,1,,1,96,1,,,,1,1,
102,102104,10210402,1021040203,,,,,,,,,,,,,,,,,3,
102,102104,10210410,1021041002,1,1,2,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,2,2,96,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,3,2,96,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,4,2,1,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,5,1,1,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,6,2,1,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,7,2,1,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,8,2,13,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,9,2,15,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,10,1,15,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,11,2,14,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,12,2,14,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,13,2,12,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,14,2,96,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,15,2,96,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,16,1,96,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,17,2,5,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,18,2,5,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,19,2,4,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,20,2,4,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,21,2,4,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,22,2,4,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,23,2,96,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,24,2,7,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,25,2,7,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,26,2,3,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,27,2,3,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,28,2,3,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,29,2,3,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,30,2,3,1,,,,1,,,,,,,,,2,
