"District_Name","SubCounty","Parish","Villagecode","Community_groups_ID","C6BQ1","C6BQ1_Other","C6BQ2","C6BQ3","C6BQ4","C6BQ5","End_commgroup","Survey_Visit","ComOrg_Response","Reason_Comm_Org_Not_Done"
102,102104,10210417,1021041701,313,2,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210419,1021041903,301,2,,,,,,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,302,2,,,,,,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,303,2,,,,,,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,304,2,,,,,,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,305,2,,,,,,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,306,1,,2,"2007",1,135,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,307,2,,,,,,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,308,2,,,,,,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,309,2,,,,,,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,310,2,,,,,,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,311,2,,,,,,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,312,2,,,,,,,2,3,"Health Centre demolished for renovation"
102,102104,10210419,1021041903,313,2,,,,,,,2,3,"Health Centre demolished for renovation"
102,102105,10210501,1021050106,301,2,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,302,2,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,303,2,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,304,2,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,305,1,,10,"2010",4,15,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,306,2,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,307,2,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,308,2,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,309,2,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,310,1,,1,"2012",2,1,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,311,2,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,312,2,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210501,1021050106,313,2,,,,,,,2,3,"the community uses the Hospital"
102,102105,10210503,1021050307,301,2,,,,,,,2,1,
102,102105,10210503,1021050307,302,1,,1,"2010",3,4,,2,1,
102,102105,10210503,1021050307,303,1,,1,"2005",3,12,,2,1,
102,102105,10210503,1021050307,304,1,,4,"2000",1,20,,2,1,
102,102105,10210503,1021050307,305,2,,,,,,,2,1,
102,102105,10210503,1021050307,306,1,,5,"1997",1,100,,2,1,
102,102105,10210503,1021050307,307,1,,5,"20006",1,25,,2,1,
102,102105,10210503,1021050307,308,2,,,,,,,2,1,
102,102105,10210503,1021050307,309,1,,2,"2007",1,0,,2,1,
102,102105,10210503,1021050307,310,1,,1,"2011",9,3,,2,1,
102,102105,10210503,1021050307,311,1,,1,"1997",1,10,,2,1,
102,102105,10210503,1021050307,312,2,,,,,,,2,1,
102,102105,10210503,1021050307,313,2,,,,,,,2,1,
102,102105,10210504,1021050405,301,2,,,,,,,2,3,
102,102105,10210504,1021050405,301,2,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,302,2,,,,,,,2,3,
102,102105,10210504,1021050405,302,2,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,303,2,,,,,,,2,3,"they uses mulago hospital - very near"
