"HHID","PID","T6FQ02a","T6FQ02b","wgt_X"
"H01605-04-01","P01605-001",2,,1874.79821777344
"H01605-04-01","P01605-026",2,,1874.79821777344
"H01605-04-01","P01605-008",2,,1874.79821777344
"H01605-04-01","P01605-002",1,5,1874.79821777344
"H01605-04-01","P01605-010",2,,1874.79821777344
"H01605-04-01","P01605-021",2,,1874.79821777344
"H01607-04-01","P01607-010",2,,1874.79821777344
"H01607-04-01","P01607-005",2,,1874.79821777344
"H01607-04-01","P01607-004",1,5,1874.79821777344
"H01607-04-01","P01607-003",2,,1874.79821777344
"H01607-04-01","P01607-007",2,,1874.79821777344
"H01607-04-01","P01607-012",1,14,1874.79821777344
"H01607-04-01","P01607-002",2,,1874.79821777344
"H01607-04-01","P01607-006",2,,1874.79821777344
"H01607-04-01","P01607-011",2,,1874.79821777344
"H01607-04-01","P01607-013",2,,1874.79821777344
"H01607-04-01","P01607-001",2,,1874.79821777344
"H01612-04-01","P01612-007",2,,1874.79821777344
"H01612-04-01","P01612-002",2,,1874.79821777344
"H01612-04-01","P01612-008",2,,1874.79821777344
"H01612-04-01","P01612-003",1,6,1874.79821777344
"H01612-04-01","P01612-004",1,6,1874.79821777344
"H01801-04-01","P01801-001",1,21,1874.79821777344
"H01801-04-01","P01801-008",2,,1874.79821777344
"H01801-04-01","P01801-002",2,,1874.79821777344
"H01801-04-01","P01801-007",2,,1874.79821777344
"H01801-04-01","P01801-004",2,,1874.79821777344
"H01801-04-01","P01801-006",2,,1874.79821777344
"H01806-04-01","P01806-012",2,,937.399108886719
"H01806-04-01","P01806-011",2,,937.399108886719
"H01806-04-01","P01806-009",2,,937.399108886719
"H01806-04-01","P01806-004",2,,937.399108886719
"H01806-04-01","P01806-002",2,,937.399108886719
"H01806-04-02","P01806-013",2,,937.399108886719
"H01806-04-02","P01806-015",2,,937.399108886719
"H01806-04-02","P01806-014",2,,937.399108886719
"H01806-04-02","P01806-001",2,,937.399108886719
"H01806-04-02","P01806-010",2,,937.399108886719
"H01809-04-01","P01809-013",2,,1874.79821777344
"H01809-04-01","P01809-001",2,,1874.79821777344
"H01809-04-01","P01809-012",2,,1874.79821777344
"H01809-04-01","P01809-003",2,,1874.79821777344
"H01809-04-01","P01809-002",2,,1874.79821777344
"H01809-04-01","P01809-006",2,,1874.79821777344
"H01809-04-01","P01809-004",2,,1874.79821777344
