"HHID","HHID_old","rotate","result_code","h1aq1a","h1aq3a","h1aq3b","h1aq4a","h1aq4b","region","regurb","sregion","urban","ea","wgt_X","wgt","year","month","day","DynID"
"H04003-04-01",1043000603,1,1,104,104105,"Zirobwe",10410504,"Kakakala",1,10,3,0,40,850.567138671875,,2014,8,"04",4003
"H04003-04-03",104300060305,1,1,102,102103,"Lubaga Division",10210307,"Mutundwe",1,11,1,1,40,850.567138671875,0,2014,8,"23",4003
"H04004-04-01",1043000604,1,1,104,104105,"Zirobwe",10410504,"Kakakala",1,11,3,1,40,2551.70141601563,,2014,2,"14",4004
"H04005-04-01",1043000605,1,1,104,104105,"Zirobwe",10410504,"Kakakala",1,10,3,0,40,2551.70141601563,,2014,8,"05",4005
"H04006-04-01",1043000606,1,1,104,104105,"Zirobwe",10410504,"Kakakala",1,10,3,0,40,2551.70141601563,,2014,2,"14",4006
"H04007-04-01",1043000607,1,1,104,104105,"Zirobwe",10410504,"Kakakala",1,10,3,0,40,2551.70141601563,,2014,2,"14",4007
"H04009-04-01",1043000609,1,1,104,104105,"Zirobwe",10410508,"Ngalonkalu",1,10,3,0,40,2551.70141601563,,2014,2,"15",4009
"H04010-04-01",1043000610,1,1,104,104105,"Zirobwe",10410504,"Kakakala",1,10,3,0,40,1275.85070800781,,2014,2,"14",4010
"H04010-04-02",,1,1,104,104105,"Zirobwe",10410502,"Bukimu",1,10,3,0,40,1275.85070800781,,2014,8,"05",4010
"H04011-04-01",1043000611,1,1,113,113301,"Busukuma",11330105,"Kiwenda",1,11,2,1,40,1275.85070800781,,2014,8,"05",4011
"H04011-04-02",104300061103,1,1,113,113307,"Nansana Town Council",11330704,"Nabweru South Ward",1,11,2,1,40,1275.85070800781,13652.5166015625,2014,8,"15",4011
"H04201-04-01",1163001101,1,1,116,116102,"Kapeeka",11610205,"Namusale",1,10,3,0,42,2551.70141601563,0,2014,3,"20",4201
"H04202-04-01",1163001102,1,1,116,116102,"Kapeeka",11610202,"Kapeeka",1,11,3,1,42,2551.70141601563,2505.0283203125,2014,3,"19",4202
"H04203-04-01",1163001103,1,1,116,116102,"Kapeeka",11610205,"Namusale",1,10,3,0,42,2551.70141601563,0,2014,3,"14",4203
"H04204-04-01",1163001104,1,1,116,116102,"Kapeeka",11610205,"Namusale",1,10,3,0,42,2551.70141601563,10674.1572265625,2013,10,"01",4204
"H04205-04-01",1163001105,1,1,116,116102,"Kapeeka",11610205,"Namusale",1,10,3,0,42,2551.70141601563,1897.62817382813,2013,9,"29",4205
"H04206-04-01",1163001106,1,1,116,116102,"Kapeeka",11610205,"Namusale",1,10,3,0,42,2551.70141601563,23533.884765625,2013,10,"02",4206
"H04207-04-01",1163001107,1,1,116,116102,"Kapeeka",11610205,"Namusale",1,10,3,0,42,2551.70141601563,2862.88940429688,2013,9,"30",4207
"H04208-04-01",1163001108,1,1,116,116102,"Kapeeka",11610205,"Namusale",1,11,3,1,42,1275.85070800781,,2014,3,"19",4208
"H04208-04-02",2116300110803,1,1,116,116102,"Kapeeka",11610205,"Namusale",1,10,3,0,42,1275.85070800781,0,2014,3,"19",4208
"H04209-04-01",1163001109,1,1,116,116102,"Kapeeka",11610205,"Namusale",1,10,3,0,42,2551.70141601563,0,2014,3,"19",4209
"H04210-04-01",1163001110,1,1,116,116102,"Kapeeka",11610205,"Namusale",1,10,3,0,42,2551.70141601563,1347.56237792969,2013,10,"01",4210
"H04501-04-01",1051000301,1,1,122,122105,"Lukaya Town Council",12210503,"Kaliro Ward",1,11,2,1,45,2792.466796875,10296.5556640625,2013,12,"10",4501
"H04505-04-01",1051000305,1,1,122,122105,"Lukaya Town Council",12210502,"Central Ward",1,11,2,1,45,2792.466796875,8833.5576171875,2014,6,"24",4505
"H04508-04-02",,1,1,122,122105,"Lukaya Town Council",12210502,"Central Ward",1,11,2,1,45,698.11669921875,,2014,6,"25",4508
"H04508-04-03",,1,1,122,122105,"Lukaya Town Council",12210502,"Central Ward",1,11,2,1,45,698.11669921875,,2014,6,"24",4508
