"HHID","h17q10b","h17q10a","wgt_X"
"H39601-04-01",10,1,1151.29089355469
"H39601-04-01",11,1,1151.29089355469
"H39601-04-01",12,1,1151.29089355469
"H39603-04-01",1,2,1151.29089355469
"H39603-04-01",2,2,1151.29089355469
"H39603-04-01",3,2,1151.29089355469
"H39603-04-01",4,2,1151.29089355469
"H39603-04-01",5,1,1151.29089355469
"H39603-04-01",6,1,1151.29089355469
"H39603-04-01",7,1,1151.29089355469
"H39603-04-01",8,1,1151.29089355469
"H39603-04-01",9,1,1151.29089355469
"H39603-04-01",10,1,1151.29089355469
"H39603-04-01",11,1,1151.29089355469
"H39603-04-01",12,1,1151.29089355469
"H39604-04-01",1,1,1151.29089355469
"H39604-04-01",2,1,1151.29089355469
"H39604-04-01",3,1,1151.29089355469
"H39604-04-01",4,2,1151.29089355469
"H39604-04-01",5,2,1151.29089355469
"H39604-04-01",6,2,1151.29089355469
"H39604-04-01",7,2,1151.29089355469
"H39604-04-01",8,2,1151.29089355469
"H39604-04-01",9,1,1151.29089355469
"H39604-04-01",10,1,1151.29089355469
"H39604-04-01",11,1,1151.29089355469
"H39604-04-01",12,1,1151.29089355469
"H39606-04-01",1,2,1151.29089355469
"H39606-04-01",2,2,1151.29089355469
"H39606-04-01",3,2,1151.29089355469
"H39606-04-01",4,2,1151.29089355469
"H39606-04-01",5,1,1151.29089355469
"H39606-04-01",6,1,1151.29089355469
"H39606-04-01",7,1,1151.29089355469
"H39606-04-01",8,1,1151.29089355469
"H39606-04-01",9,1,1151.29089355469
"H39606-04-01",10,1,1151.29089355469
"H39606-04-01",11,1,1151.29089355469
"H39606-04-01",12,1,1151.29089355469
"H39607-04-01",1,1,1151.29089355469
"H39607-04-01",2,1,1151.29089355469
"H39607-04-01",3,1,1151.29089355469
"H39607-04-01",4,1,1151.29089355469
"H39607-04-01",5,1,1151.29089355469
"H39607-04-01",6,2,1151.29089355469
"H39607-04-01",7,2,1151.29089355469
"H39607-04-01",8,2,1151.29089355469
"H39607-04-01",9,2,1151.29089355469
"H39607-04-01",10,2,1151.29089355469
"H39607-04-01",11,2,1151.29089355469
"H39607-04-01",12,2,1151.29089355469
"H39609-04-01",1,2,1151.29089355469
"H39609-04-01",2,2,1151.29089355469
"H39609-04-01",3,2,1151.29089355469
"H39609-04-01",4,2,1151.29089355469
"H39609-04-01",5,2,1151.29089355469
"H39609-04-01",6,2,1151.29089355469
"H39609-04-01",7,1,1151.29089355469
"H39609-04-01",8,1,1151.29089355469
"H39609-04-01",9,1,1151.29089355469
"H39609-04-01",10,1,1151.29089355469
"H39609-04-01",11,1,1151.29089355469
"H39609-04-01",12,1,1151.29089355469
"H39802-04-01",1,2,1933.7021484375
"H39802-04-01",2,2,1933.7021484375
"H39802-04-01",3,2,1933.7021484375
"H39802-04-01",4,2,1933.7021484375
"H39802-04-01",5,2,1933.7021484375
"H39802-04-01",6,1,1933.7021484375
"H39802-04-01",7,2,1933.7021484375
"H39802-04-01",8,2,1933.7021484375
"H39802-04-01",9,2,1933.7021484375
