"id_hh","wgt","ea","rural"
"H09109-04-01",1343.59973144531,91,2
"H09110-04-01",1679.49975585938,91,2
"H09111-04-01",750.166625976563,91,2
"H09203-04-01",8949.5869140625,92,2
"H09206-04-01",3064.056640625,92,2
"H09208-04-01",5059.5029296875,92,2
"H09209-04-01",10133.234375,92,2
"H09210-04-01",1118.69836425781,92,2
"H09403-04-01",12545.388671875,94,1
"H09403-04-02",3470.09155273438,94,1
"H09410-04-01",0,94,1
"H09501-04-01",0,95,1
"H09504-04-01",2661.2109375,95,1
"H09505-04-01",7603.45947265625,95,1
"H09509-04-01",6227.2216796875,95,1
"H09510-04-01",4073.99951171875,95,1
"H09513-04-01",1357.99987792969,95,1
"H09514-04-01",1631.89147949219,95,1
"H09604-04-01",7065.7724609375,96,1
"H09605-04-01",18842.05859375,96,1
"H09608-04-01",6223.69873046875,96,1
"H09609-04-01",4425.7412109375,96,1
"H09610-04-01",5868.55712890625,96,1
"H09613-04-01",0,96,1
"H09701-04-01",3615.41772460938,97,1
"H09705-04-01",7201.3212890625,97,1
"H09706-04-01",6822.63818359375,97,1
"H09710-04-01",4450.4140625,97,1
"H09901-04-01",0,99,1
"H09902-04-01",30315.873046875,99,2
"H09903-04-01",7568.32666015625,99,2
"H09905-04-01",3295.845703125,99,2
"H09906-04-01",0,99,2
"H09908-04-01",4540.99609375,99,2
"H09909-04-01",7715.12255859375,99,2
"H09910-04-01",6063.17431640625,99,2
"H10002-04-01",10634.794921875,100,1
"H10003-04-01",25449.36328125,100,2
"H10004-04-01",15661.1474609375,100,1
"H10007-04-01",19389.9921875,100,2
"H10007-04-02",16966.2421875,100,2
"H10009-04-01",9967.4580078125,100,1
"H10009-04-02",NA,100,1
"H10010-04-01",11746.54296875,100,2
"H10011-04-01",7438.49755859375,100,1
"H10201-04-01",8967.4521484375,102,1
"H10201-04-02",0,102,2
"H10205-04-01",9686.2861328125,102,1
"H10207-04-01",6083.52294921875,102,1
"H10209-04-01",9686.2861328125,102,1
"H10210-04-01",8967.453125,102,2
"H10303-04-01",NA,103,1
"H10304-04-01",4053.32055664063,103,1
"H10306-04-01",22621.658203125,103,1
"H10309-04-01",5136.748046875,103,1
"H10311-04-01",5353.9169921875,103,2
"H10312-04-01",17192.66796875,103,1
"H10701-04-01",2508.91748046875,107,2
"H10701-04-02",0,107,2
"H10701-04-03",1338.08935546875,107,2
"H10702-04-01",967.444702148438,107,2
"H10703-04-01",2506.0146484375,107,2
"H10704-04-01",1720.40051269531,107,2
"H10704-04-02",1146.93371582031,107,2
"H10706-04-01",2355.36059570313,107,2
"H10706-04-02",NA,107,2
"H10707-04-01",3403.11376953125,107,2
"H10708-04-01",5734.6689453125,107,2
"H10709-04-01",2902.333984375,107,2
"H10710-04-01",11193.3857421875,107,2
"H10710-04-02",0,107,1
"H10710-04-03",3731.12866210938,107,1
"H10710-04-04",0,107,2
"H10710-04-05",0,107,2
"H10801-04-01",2041.76696777344,108,2
"H10802-04-01",2760.86743164063,108,2
"H10803-04-01",3696.24340820313,108,2
"H10803-04-02",0,108,2
"H10803-04-03",NA,108,2
"H10804-04-01",3834.25415039063,108,2
"H10805-04-01",3644.34521484375,108,1
"H10806-04-01",9226.173828125,108,2
"H10807-04-01",9574.54296875,108,2
"H10807-04-02",4388.33251953125,108,2
"H10809-04-01",5272.099609375,108,2
"H10810-04-01",2298.57177734375,108,2
"H10902-04-01",NA,109,2
"H10904-04-01",4576.45556640625,109,2
"H10905-04-01",2197.02416992188,109,2
"H10906-04-01",2034.57043457031,109,2
"H10908-04-01",2712.76049804688,109,2
"H10909-04-01",9707.46875,109,2
"H10909-04-02",NA,109,2
"H10909-04-03",8089.55810546875,109,1
"H10909-04-04",NA,109,2
"H10910-04-01",2471.65209960938,109,2
"H11001-04-01",2814.46606445313,110,2
"H11002-04-01",0,110,2
"H11003-04-01",0,110,2
"H11006-04-01",360.385101318359,110,2
"H11007-04-01",0,110,2
"H11009-04-01",0,110,2
"H11010-04-01",0,110,2
"H11011-04-01",0,110,2
"H11403-04-01",0,114,1
"H11405-04-01",0,114,1
"H11406-04-01",3833.58056640625,114,1
"H11409-04-01",534.273803710938,114,1
"H11410-04-01",5877.01171875,114,1
"H11414-04-01",1916.79028320313,114,1
"H11501-04-01",0,115,1
"H11502-04-01",4796.9599609375,115,1
"H11502-04-02",2398.47998046875,115,1
"H11504-04-01",938.718566894531,115,1
"H11505-04-01",4790.22412109375,115,1
"H11506-04-01",5084.7158203125,115,1
"H11506-04-02",4572.642578125,115,1
"H11506-04-03",2980.05908203125,115,2
"H11507-04-01",2055.83984375,115,1
"H11509-04-01",2194.86840820313,115,1
"H11510-04-01",938.718566894531,115,1
"H11801-04-01",2097.52563476563,118,2
"H11804-04-01",8587.5439453125,118,2
"H11805-04-01",671.985778808594,118,2
"H11806-04-01",2621.90698242188,118,2
"H11807-04-01",925.426147460938,118,2
"H11808-04-01",5247.94384765625,118,2
"H11808-04-02",9430.3818359375,118,2
"H11809-04-01",1831.11096191406,118,2
"H11810-04-01",3870.92529296875,118,2
"H11901-04-01",3734.9609375,119,1
"H11902-04-01",7707.75830078125,119,1
"H11903-04-01",0,119,1
"H11903-04-02",0,119,2
"H11905-04-01",3268.09106445313,119,2
"H11907-04-01",1452.48486328125,119,2
"H11908-04-01",2973.43359375,119,2
"H11910-04-01",1284.62646484375,119,2
"H12001-04-01",3933.087890625,120,2
"H12003-04-01",4998.7197265625,120,2
"H12003-04-02",1122.16162109375,120,2
"H12005-04-01",5628.1796875,120,2
"H12006-04-01",25068.408203125,120,2
"H12007-04-01",13497.00390625,120,2
"H12008-04-01",5701.23828125,120,2
"H12008-04-02",2565.55712890625,120,2
"H12009-04-01",0,120,2
"H12010-04-01",0,120,2
"H12011-04-01",7855.13134765625,120,2
"H12303-04-01",1977.62744140625,123,1
"H12306-04-01",2966.44116210938,123,1
"H12310-04-01",1451.25927734375,123,1
"H12311-04-01",3870.02490234375,123,1
"H12401-04-01",737.092041015625,124,1
"H12402-04-01",301.700164794922,124,1
"H12404-04-01",1105.63793945313,124,1
"H12407-04-01",1842.72998046875,124,1
"H12407-04-02",0,124,1
"H12408-04-01",2152.50756835938,124,1
"H12409-04-01",1228.48669433594,124,1
"H12411-04-01",566.993835449219,124,1
"H12501-04-01",6239.04345703125,125,2
"H12502-04-01",2385.02099609375,125,2
"H12504-04-01",10640.62890625,125,2
"H12505-04-01",3576.20654296875,125,2
"H12506-04-01",4334.7958984375,125,2
"H12507-04-01",4293.03759765625,125,2
"H12509-04-01",4534.0703125,125,2
"H12510-04-01",6718.9697265625,125,2
"H12512-04-01",3743.42578125,125,2
"H12601-04-01",4587.21337890625,126,2
"H12603-04-01",4687.4794921875,126,2
"H12604-04-01",2025.69482421875,126,2
"H12605-04-01",8825.5859375,126,2
"H12606-04-01",2992.24462890625,126,2
"H12606-04-02",2244.18334960938,126,2
"H12607-04-01",0,126,2
"H12609-04-01",17953.466796875,126,2
"H12610-04-01",NA,126,2
"H12610-04-02",NA,126,2
"H12611-04-01",3282.11181640625,126,2
"H12701-04-01",0,127,2
"H12701-04-02",0,127,2
"H12703-04-01",4570.31298828125,127,2
"H12704-04-01",3035.822265625,127,2
"H12705-04-01",3437.7978515625,127,2
"H12706-04-01",4858.7568359375,127,2
"H12707-04-01",3339.40454101563,127,2
"H12708-04-01",3521.58740234375,127,2
"H12709-04-01",1337.30932617188,127,2
"H12710-04-01",2062.67895507813,127,2
"H12805-04-01",2206.21166992188,128,1
"H12805-04-02",0,128,1
"H12806-04-01",2208.76733398438,128,1
"H12808-04-01",1472.51147460938,128,1
"H12809-04-01",1149.9736328125,128,1
"H12809-04-02",0,128,1
"H12809-04-03",0,128,1
"H12810-04-01",1295.98803710938,128,1
"H12811-04-01",1149.9736328125,128,2
"H12812-04-01",0,128,2
"H12901-04-01",1761.55285644531,129,1
"H12902-04-02",5133.4072265625,129,2
"H12903-04-01",3157.85302734375,129,2
"H12904-04-01",3821.48657226563,129,2
"H12905-04-01",3789.423828125,129,2
"H12905-04-02",0,129,2
"H12906-04-01",3567.673828125,129,2
"H12907-04-01",3157.85302734375,129,2
"H12908-04-01",3805.51879882813,129,2
"H12909-04-02",3508.72534179688,129,2
"H12910-04-01",2607.44482421875,129,2
"H13002-04-01",1641.79724121094,130,2
"H13003-04-01",1708.10180664063,130,2
"H13004-04-01",2108.44213867188,130,2
"H13005-04-01",5903.63818359375,130,2
"H13006-04-01",7622.6298828125,130,2
"H13006-04-02",10743.6044921875,130,2
"H13006-04-03",2409.4384765625,130,2
"H13006-04-04",0,130,2
"H13006-04-05",NA,130,2
"H13006-04-06",NA,130,2
"H13007-04-01",2951.81909179688,130,2
"H13008-04-01",3838.78198242188,130,2
"H13009-04-01",8891.7509765625,130,2
"H13010-04-01",3490.8369140625,130,2
"H13102-04-01",3372.35205078125,131,2
"H13102-04-02",2248.23486328125,131,2
"H13103-04-01",2628.35888671875,131,2
"H13104-04-01",1720.89099121094,131,2
"H13105-04-01",3637.92260742188,131,2
"H13105-04-02",2182.75341796875,131,2
"H13106-04-01",1973.55285644531,131,2
"H13107-04-02",7713.3564453125,131,2
"H13107-04-03",0,131,2
"H13107-04-04",0,131,2
